dates,oahuoahu0082_0001,oahuoahu0082_0002,oahuoahu0082_0003,oahuoahu0082_0004,oahuoahu0082_0005
2017-09-11 20:24:25.000,28.37116872689128,23.583815343227705,30.00907031421652,12.91074107007431,2.5099288861017497
2017-09-11 20:25:30.000,22.94977379426078,20.527034451888213,26.800202170036705,8.967522529783611,
2017-09-12 20:22:54.000,27.32244353133001,24.474472062832422,29.733033903057606,12.072399154156884,2.441662095676263
2017-09-12 20:22:55.000,27.711831646312586,27.07555385664107,32.637013301208405,13.3212493515148,2.765470444735928
2017-09-12 20:24:59.000,,21.084475028746965,27.44206480450514,11.557468818408234,
2017-09-13 20:23:32.000,23.59958751025056,21.48172148945263,26.057680528502253,11.089906260209297,
2017-09-16 21:39:20.000,24.835368750122583,23.193796749219143,28.193135645624697,11.199338363446785,
2017-09-18 21:39:40.100,27.062639612780973,24.1926502396719,30.44864800666878,13.212943213796745,3.0082088968992524
2017-09-19 21:38:31.000,29.59395565534745,26.91862880626124,33.05660402242055,15.602993741399118,5.363918953239252
2017-09-21 20:24:05.000,29.065904522554515,27.756349724610125,32.49514665855294,16.17330778155434,6.125074185687806
