dates,oahuoahu0085_0001,oahuoahu0085_0002,oahuoahu0085_0003,oahuoahu0085_0004,oahuoahu0085_0005,oahuoahu0085_0006,oahuoahu0085_0007,oahuoahu0085_0008,oahuoahu0085_0009,oahuoahu0085_0010,oahuoahu0085_0011,oahuoahu0085_0012,oahuoahu0085_0013,oahuoahu0085_0014,oahuoahu0085_0015,oahuoahu0085_0016,oahuoahu0085_0017,oahuoahu0085_0018,oahuoahu0085_0019,oahuoahu0085_0020,oahuoahu0085_0021,oahuoahu0085_0022,oahuoahu0085_0023,oahuoahu0085_0024,oahuoahu0085_0025,oahuoahu0085_0026
2022-02-20 20:41:43.000,5.412562447813079,4.376743289229077,7.309042081488478,7.016800905115886,6.687926122632611,11.011692330677985,13.116702844741315,9.030965480690908,-1.045611013751726,,1.5966145867518708,,4.577868795336011,1.08367083726476,-0.4938964396049083,2.6742689971637845,3.251805997008803,3.6428176350255614,6.650227307463263,3.4704695736568447,9.097652810698875,6.806713207469173,6.87549815054663,12.01360515663731,6.803952394962503,13.92717803937445
2022-02-21 20:39:54.000,7.370650444145141,7.012527286435247,10.694497061708615,10.790674750795985,10.828695079665552,14.057005766240076,11.254221363124294,9.06222699744862,1.0041986716267994,0.341793404440355,4.574333151620996,0.5581554980255663,6.836941315369255,3.1212895987258795,3.081486591230539,6.686585451365297,7.225503324533903,7.091909703613243,9.963284267552009,5.512184419743918,11.153502740588094,9.70816584578935,9.338918627603856,14.927212483254772,13.170357500441376,16.5347652949299
2022-02-21 20:44:14.980,5.2818020417358085,5.439771327714894,9.083056101288186,9.03490780509433,8.916823919049717,11.488783895376736,12.296058384560116,10.043753942419722,0.1153190109245521,-0.9375193941039364,1.895505496628172,0.0282171462130993,7.060392965499309,3.6911450873357095,3.529557063562469,5.861977100853684,6.50485472229548,7.092622290260461,10.133399402497322,6.393486667196582,11.706314328549624,8.451368506314722,8.067399180426573,16.32961944827291,13.131192042849282,15.011983158742597
2022-02-21 20:57:46.780,8.860594383531993,8.47605601176384,11.897676042436608,9.65027131253854,10.015611822827069,14.112862097192783,11.7819767412195,11.267585527077305,2.521917924003502,0.4257756976593139,4.509855232710082,0.6928391619388026,8.748804904098696,2.7467466237741784,2.9504789652078416,7.597489739722755,9.087538047388245,10.119662601622178,13.037408225830362,8.78151376214988,14.21966091691475,10.474835904696626,10.838987149947243,18.730773941469632,19.477212261737822,23.014820278647704
2022-02-21 20:57:49.080,6.556130376060724,6.186441945880951,9.279734511234173,8.98896028046074,8.988115679313797,10.993583985150256,11.983004813407954,10.645883896238567,2.550639276523238,0.1252745873899721,4.509708849876967,-0.6819743763775218,6.991965544580761,3.0541784837460475,0.163214604885471,4.303401626300973,5.701174239791607,5.440260906937935,7.758086520003166,3.957010722468174,10.753073377557836,7.482753321822543,6.480657063440223,14.946325874502577,13.389589518879497,19.575043601350814
2022-02-22 20:13:55.290,7.043272174440798,5.558308171785014,7.553474588781318,9.013011258378194,8.75795209168348,11.776528084906095,12.188589845043444,8.762028060625086,0.1873609162960923,,1.7979811637904175,,5.984003066640207,2.4648419250582507,2.3844160908710066,5.656005318318343,6.411284575008793,5.829736478499248,8.93922933913527,5.454579339066666,12.082039587534862,9.961702426488568,9.903140901904882,14.691192740238437,12.992093714444808,15.727032092788276
2022-02-22 20:41:58.110,7.436427769296788,7.893011111203156,11.738352966962648,9.488879970078244,9.53403767134947,11.945786993677588,11.688640734161533,10.167080650226383,1.1315347375854643,,1.6415702206994771,0.3406679046969483,7.622972891233614,4.034292433492007,3.182182787454426,6.108590439313442,6.631876410162418,6.902634099725331,9.544800494655767,6.314704687749515,12.319612306417536,10.00762286696245,9.226782762160449,15.44828116743243,10.733832444489096,15.369308037735609
2022-02-22 20:59:29.150,5.384239650993624,6.281192752441526,9.8138782938583,8.437030088559608,8.777341160552933,11.235008607583058,10.875677227970288,8.684643467488764,0.6254678263919509,,1.5622474396729449,,5.416148402506282,0.9583024787101172,0.5928223625724176,3.4000562415374294,3.914811407968808,4.836873101426123,8.504096026169725,5.94174330867008,11.667980718523497,9.663639870143282,8.873485108883692,16.333292443392008,13.409722403554406,16.914438111800145
2022-02-24 21:03:37.770,,,,,,,,,,,,,,,,,,,,,,14.887488594755,8.48689932501152,12.835453606966068,11.111807838053648,19.781243115223784
2022-02-27 20:27:20.270,10.358073600132208,10.999382403035565,14.886282126823774,12.12923026090027,13.06337082788113,13.88914078426504,14.692286459749107,11.88827491449303,3.2199189770152064,-0.1815410525098517,3.135614476657735,1.0338297387307176,8.447833937481688,4.852546438403875,4.696514365444125,7.230365204682146,7.7570251303573245,9.351684368247732,11.905955618584333,8.66147185336096,14.745606746610497,11.46925025622358,10.74931128909308,18.13223530173389,14.463235517222614,17.386486236244306
2022-02-27 20:38:57.000,6.186598614615192,5.865782233822837,9.06478985957472,9.971466252481912,9.8533823664373,12.534738977421569,13.47117076399836,9.698400457552076,0.1425269899738775,,2.4995078702908007,,5.906561405115072,2.173930568280342,2.080514276987249,5.591298886933537,7.059068007361691,6.911353941540482,8.537524608324793,4.814944145313363,10.6144387313438,8.550979885345253,8.252047494255283,15.478517014012272,9.564543404556408,16.96918409588749
2022-03-02 20:44:31.000,10.071007449533967,9.097284218576306,14.439742444796046,11.935959661311264,12.15463524932655,14.135009775712897,13.640288130723013,11.35049149706238,1.6315086159809278,0.9898761977132366,5.171298331086273,1.8209638480208328,9.637227962544154,7.742746424378888,7.6484536853042275,10.826715854268476,11.07650544293945,11.57078049538463,14.57182365731385,11.290638163021397,16.818418196914187,14.50205118600752,13.482505892253444,18.900773104519445,17.50981308622092,22.837815858461568
2022-03-03 20:14:48.000,5.515039608930202,6.0582287219712185,9.590681477570357,8.052326231920807,8.166470350467321,12.50131384309183,12.676917600376449,10.308753384122314,1.9728536500246283,0.4362215537261541,4.820655816213149,-0.0470084163198207,7.536672414294797,4.428353077025274,4.00575673238499,6.942289630438308,7.905926816062607,8.256852917369166,11.316425828654037,8.283022939745335,13.890480586673956,10.566834403481169,10.906685280315806,17.783231831955362,17.424541782952748,19.40878868617256
2022-03-05 20:13:27.210,10.527000937871476,10.600665398676574,15.431431810755605,11.411027624588696,11.92650576490622,16.1701867721205,13.388771128812008,11.69789765264272,1.1017806521823306,0.4027497690796981,4.555233378547467,0.7551341488186063,9.248558006068649,6.531946459206001,4.903950621292255,7.895177528001923,8.635980142755091,9.462348004856588,12.351081794673968,8.456142472444368,14.146593925792514,12.403627423969732,11.402411061277263,17.280805795736413,13.641603633037809,19.502504000879032
2022-03-05 20:13:29.510,11.559782332561644,11.162084428001652,16.026154194858854,13.243464419800292,13.273743756696792,15.525547518108931,16.926133813678828,13.710480631427377,1.3608881064555254,0.8353177790857966,6.040738754165233,1.427286275875558,10.717434011420236,7.857009617485476,7.650158783787571,10.631990266770485,9.941507319062708,10.108334186196087,12.821338836839848,9.43317485025446,15.34132462101626,12.677281828374504,11.208286038024184,16.825504120236882,14.870802098182986,19.818133281275365
2022-03-05 20:39:30.660,,,,,,,,7.428766392175266,0.6742270278641449,-0.4815221507837961,3.068702404726212,0.2672937356750104,7.159285908378871,4.301083870204362,3.643170789435891,6.08780459243315,6.163953590074309,6.571148436240849,9.222187448915388,5.7813320240384485,11.53886628707136,9.988422122108275,9.508288336905128,16.19275521722698,11.23477624795824,16.896465481991633
2022-03-05 20:39:32.170,1.6145665104497482,1.3555018105930707,4.950618213127561,4.33920387556704,4.911086946244359,10.020536835197609,10.409504587309591,8.561605146652397,-0.1098850145219791,,1.5823727981137583,,4.168199873409966,1.5409964595214969,1.5764651481285856,4.578618856151322,5.2438661072944415,5.922948785434509,8.739077354916855,4.817406234115589,11.194107273778704,9.684820956181714,9.41548400174318,14.573554730813443,10.947987801477904,15.40043333522495
2022-03-06 20:13:34.720,10.574305180312852,11.982568065526657,16.004494233565097,13.221804458506536,13.75976030054553,15.514607527066932,14.558200792334231,12.076281516877357,2.11817957489967,0.5580697487540216,4.533563100780187,0.4761418496956562,8.988733387915042,4.7045237590985245,4.623791208758394,8.350406889159467,8.62822375123072,8.577591396761749,12.076954744652095,8.552199069444939,13.829037935689918,9.931846110566148,9.803537536763358,16.803844158943125,14.036317508553577,18.533693352570687
2022-03-06 20:13:37.020,13.506713297316502,13.399738550915286,17.515931613926583,14.444958966230397,14.6661500463948,14.472653517231864,14.679596238042192,13.141874945502908,2.051073710736489,0.6756403450958275,4.534922774249576,0.5285575237439568,8.183449315211549,4.710242959396797,4.526323306514366,8.143067535707138,8.58476632230476,8.607895178799671,11.908159601438316,8.498760278853213,13.818136635689678,10.12955142616131,9.688359918139698,17.259036865322063,12.649794820544644,18.37078280708307
2022-03-09 20:16:04.900,8.086473190321293,9.07792727381619,14.257117461982164,9.388956729900793,10.321501330448262,11.938078510126552,11.005215675159596,10.46724864394566,1.8667616629825663,,2.2133140734949976,0.872010638918078,6.90513161383598,3.676257362442018,2.7187306041153776,5.66374350513005,5.779751242672619,6.723571316544513,9.422245081790477,6.080050516431189,11.701703536292888,8.155234212784366,7.587491928146953,14.672434785120366,12.639928248976522,16.874217659297003
2022-03-09 20:16:07.200,,,,,,,,,,,,,,,,,,,,,,,,,,14.892839255848113
