dates,oahuoahu0038_0001,oahuoahu0038_0002,oahuoahu0038_0003,oahuoahu0038_0004,oahuoahu0038_0005,oahuoahu0038_0006,oahuoahu0038_0007,oahuoahu0038_0008,oahuoahu0038_0009,oahuoahu0038_0010,oahuoahu0038_0011,oahuoahu0038_0012,oahuoahu0038_0013,oahuoahu0038_0014,oahuoahu0038_0015,oahuoahu0038_0016,oahuoahu0038_0017,oahuoahu0038_0018,oahuoahu0038_0019
2020-11-02 20:45:00.000,201.4350271850756,201.7679259112107,,,188.6381106547607,186.2301039466764,181.6994556576017,181.9465446922857,182.4145321341889,180.9300970654148,178.2495591799294,177.44945309831158,176.9830411851958,177.89260119333042,175.2507719502842,170.30750331332706,171.99175304282554,171.05807234018042,169.59390678903648
2020-11-05 21:07:17.170,182.84917608479967,181.21929454844565,183.8699212188904,188.17972518005985,186.59513458988755,184.948125908267,182.51533866620252,180.7996374758783,180.894503148948,181.9603372628944,182.81429184044111,181.41047508927616,184.01725995120697,184.2473625327388,186.0634959730245,180.7673345068418,180.41580652402112,179.84408504952071,179.25095006327496
2020-11-05 21:14:00.750,178.17502192392615,177.16056280027647,176.24262223661552,179.531750699145,183.9931152247254,176.8218176211273,180.77121726494303,178.0532841088529,176.25418579373087,176.27183234742915,176.9239159328056,175.26440691403872,176.35636265817374,177.32502285671788,179.33041187870913,176.44043684220085,170.82828782019686,169.5365120049409,166.39807478428176
2020-11-05 21:14:25.860,187.79436320403096,185.844895583113,184.9465587492844,189.28993491383724,192.85691167523223,186.2458682680379,189.4999526688368,187.33621766687355,183.6015652583302,185.2921162940911,185.6324101673111,185.7198115052377,183.5146029672936,173.51305552239006,175.7727332761338,176.99330783829782,167.57202718592063,165.60184894383278,164.28777992608303
2020-11-05 21:21:55.660,182.6659865512024,179.099243056724,178.9423994090002,182.40155683395287,185.8845743003279,178.14317384308893,182.4370605109596,177.9888127239962,178.86399475957018,179.95549763836752,178.13146103259925,179.45494686562708,181.21876390863457,181.0027510345576,184.04721318256404,178.5288876002811,175.373261971138,175.9204643589847,172.67607180011848
2020-11-12 20:27:00.580,203.26976991273247,206.9633040055373,203.4181972923388,205.1494078335644,204.9721555591929,199.69747598913216,201.5537705956197,199.8643267500843,199.9456832378044,199.0323726914083,197.5797287945881,197.6090954039127,197.11348149205656,198.3954637214596,197.92139832186848,191.9633370062285,184.81101463204607,180.517371351274,180.02877410168742
2020-11-14 20:25:04.820,166.89491438538764,171.78046662605573,168.7219789001849,173.8602305897496,167.67228077663407,171.99403815984238,166.45244935094135,169.5314905157862,173.0353317001523,173.28103755898692,170.59718377102843,174.0636335295194,178.6157983013097,179.91477969232167,178.35903869642962,174.32226937419293,175.4492133438749,174.43585693116415,176.46473901519394
2020-11-21 20:49:33.000,,,,,,,,,,,,,,,,,,,
2020-11-26 18:39:00.000,,,,,,,,,,,,,,,,180.6340926880013,177.75471921773757,185.13906225071483,198.7035961685356
2020-11-28 20:25:54.680,179.8270465150698,182.03924729881564,180.3462449790908,182.5815755657225,185.6139630528293,185.0891110180729,182.26794768502032,182.5179169990589,181.02908866334352,180.96934154030785,182.38868806779203,180.9520927042701,181.3584710251763,181.79677039712263,180.9284504735762,182.5866273799965,175.03366131419008,174.28867726129104,172.13119617526007
