dates,oahuoahu0050_0001,oahuoahu0050_0002,oahuoahu0050_0003,oahuoahu0050_0004,oahuoahu0050_0005,oahuoahu0050_0006,oahuoahu0050_0007,oahuoahu0050_0008,oahuoahu0050_0009,oahuoahu0050_0010,oahuoahu0050_0011,oahuoahu0050_0012,oahuoahu0050_0013,oahuoahu0050_0014,oahuoahu0050_0015,oahuoahu0050_0016,oahuoahu0050_0017,oahuoahu0050_0018,oahuoahu0050_0019,oahuoahu0050_0020,oahuoahu0050_0021,oahuoahu0050_0022,oahuoahu0050_0023,oahuoahu0050_0024,oahuoahu0050_0025,oahuoahu0050_0026,oahuoahu0050_0027,oahuoahu0050_0028,oahuoahu0050_0029,oahuoahu0050_0030,oahuoahu0050_0031,oahuoahu0050_0032,oahuoahu0050_0033,oahuoahu0050_0034,oahuoahu0050_0035,oahuoahu0050_0036,oahuoahu0050_0037,oahuoahu0050_0038,oahuoahu0050_0039,oahuoahu0050_0040,oahuoahu0050_0041,oahuoahu0050_0042,oahuoahu0050_0043,oahuoahu0050_0044,oahuoahu0050_0045,oahuoahu0050_0046,oahuoahu0050_0047,oahuoahu0050_0048,oahuoahu0050_0049,oahuoahu0050_0050,oahuoahu0050_0051,oahuoahu0050_0052,oahuoahu0050_0053,oahuoahu0050_0054,oahuoahu0050_0055,oahuoahu0050_0056,oahuoahu0050_0057,oahuoahu0050_0058,oahuoahu0050_0059,oahuoahu0050_0060,oahuoahu0050_0061,oahuoahu0050_0062,oahuoahu0050_0063,oahuoahu0050_0064,oahuoahu0050_0065,oahuoahu0050_0066,oahuoahu0050_0067,oahuoahu0050_0068,oahuoahu0050_0069,oahuoahu0050_0070,oahuoahu0050_0071,oahuoahu0050_0072,oahuoahu0050_0073,oahuoahu0050_0074
2022-01-06 20:15:55.730,-3.541195267995314,-8.13179774944326,-0.6522454630280995,3.4357139254010485,8.048942007241555,13.204005232090374,16.19080247032172,20.058139473461107,24.34437509621977,37.94252804647585,23.25243974935851,20.07874089590933,16.941720484541285,17.85047091909511,10.73894759118439,25.51936986747879,18.47422560022818,16.95162985646975,4.117011170451803,4.480393292277358,10.028611179561182,11.417999911014665,2.4352756255762835,0.1546280076887664,2.0084709507657044,7.404155590389257,-1.2569489141749963,-0.2785549336835101,-12.669226697239784,-5.849606198162248,-7.279089801562864,-9.648895525472806,-12.501199514873386,,,-14.78472165114722,-6.468415850837087,-5.7256495885044805,-4.474559020586825,-4.575523910688957,-2.386529015048912,-1.5284539666382364,-5.347169011885268,-6.25007879160833,-7.350609824403755,-4.160301011268447,-5.108076821303343,-7.621214443648882,-9.419827348259387,-7.019682900106459,-8.444829160401035,-12.762302141818148,,,,,,,,,,,,,,,25.023877393318124,17.83321621318307,-2.9019328069690125,-14.094845044402666,-10.567498632949013,-5.224919805208647,1.0807480861357015,-12.294047920498237
2022-01-06 20:40:04.000,-9.994992121304913,-7.336947424722202,-0.1489189602327615,5.1876637412860775,9.537844343189038,13.12536289064806,12.995551515082662,19.970077291008,24.750364460337927,38.39953648356768,21.58658539267697,18.765788160431534,17.039292566685077,21.096279817680745,14.958053124254052,28.27053070939504,22.42791561347898,19.80485368782988,6.6051482306815865,6.734790681438128,14.179507233164069,16.501309847005352,6.9379674293583244,6.274081841352989,9.559425890346745,10.577585571748193,4.444671537667781,5.68760102402715,3.402447845648941,0.3131089383326337,-3.184628977615932,-9.77486720070903,-13.519596544171318,-14.744139283644394,-13.692438396652715,-12.14450893726426,-12.349363644448438,-12.862068998031,-14.5706501971273,-10.096365928645367,-3.452638967564619,-5.893335376419578,-11.744057997913725,-13.03001308874524,-13.005070340401067,-7.304156655627325,-9.320783108349682,-10.573912935318493,-10.19284533557429,-8.95557198379601,-14.499917502316425,,,-13.336975956171411,-4.343107851760052,-12.605975631581428,-12.675640070453808,-12.39161377555123,-10.776556604727457,-13.457225286887578,-11.375834116922446,-10.317639094883248,-14.911101108455986,-9.095549399317228,-13.31930946480661,-18.23857654508789,,,,,,,,
2022-01-07 20:43:49.000,-0.0401659308982774,-3.494028659861081,6.5005233892988965,11.739970186426604,15.619999550902932,19.26501535589549,19.14694051948971,25.3165221504494,31.96537550170229,45.61259002909536,29.48266628175997,25.545285755996904,24.267418892410788,27.078205930651848,20.852655394885296,34.78481789839908,28.332659038946368,27.08901516338529,13.664227628030304,12.97472352602554,20.68919386040513,21.29439891990144,13.60085949448834,14.09535435340148,17.301137499591867,19.65673469926115,12.58282720026146,11.37865237513754,7.287140165301237,4.389844224016352,-0.603852733191582,-6.631916819564511,-7.056075923233443,-7.580839081678279,-10.238294308917318,-4.545920216065198,-4.692961055829944,-6.3657298776579605,-6.709341876223942,-4.49544369164877,-1.1856229082654095,0.1353848677890266,-3.1732727524781783,-5.419817207823719,-4.796792489299246,-0.9691108864372122,-1.453579675403768,-3.0030886795332727,-1.4049474001077105,-0.4975821088276912,-7.663644653471561,-6.578662079553702,-7.180902458122574,-6.301805783746023,2.9992110658777924,-6.520529257639721,-6.956329744821348,-7.140937104405323,-2.3579053440677407,-6.926425089058025,-2.7023810405175923,-5.878836808232737,-3.232526953918713,-1.945624486216831,-4.597609710163654,-2.0102005339671845,-3.024642958106229,-2.074785282011929,-6.924906235816254,-8.367831361481011,-2.294299962237053,3.638628096150688,7.909580923662686,-8.269330749026674
2022-01-08 21:38:53.680,-2.461088840337894,-5.950469312082427,-0.9051336464155288,5.807411000852213,9.633828784498313,14.065739490679547,16.44305109207287,22.973796135966047,28.184054122527584,41.19440404164125,25.70605578349545,22.64011753630933,22.556326598906125,26.2513480915364,20.06442248587216,34.318848714713106,25.593256625820857,24.61150035065632,13.80789821200265,12.314659016598204,19.784565026985742,21.288606188770025,11.63856885710782,11.127890614532912,15.234593693936516,17.564754299982262,6.847986504900976,8.077709007488739,5.416441634720729,0.2778560497859951,-4.13827813232674,-5.942550405091031,-7.289814538289304,-8.594351113063894,-9.62802881931736,-7.518235901425116,-7.078842599433471,-7.570188912391203,-8.620297507917254,-6.326399310126221,-0.7972052264123772,-1.1930488385866205,-6.207842296480632,-6.982866886417204,-6.4206889224381305,-0.9763924185973144,-3.6631216175529926,-5.806106310584233,-4.440665051774023,-2.242765751504049,-5.91117910698883,-7.576982236232884,-5.965949930592026,-6.358031590010362,2.6703726488311434,-7.127699406981638,-6.56278725310056,-5.618261709698732,-2.4465833864744555,-5.295759660449581,-4.652650904330346,-4.611486757818494,-5.300162820012607,-4.143558349018922,-2.712505817600821,-4.0560703403667135,-5.364890884662198,-3.7793417154683486,-5.968573709957673,-6.523117439663484,-4.518177878408804,-2.1309749087608485,6.263104385644172,-6.981360485099157
2022-01-08 21:38:55.180,-2.5329205772033925,-7.498576989798521,-0.905470150127045,5.678795309079979,8.381779746191853,12.057212405840838,16.442714588361355,22.97345963225453,27.556162828784245,39.87804240504897,25.70571927978394,22.63978103259781,22.55599009519461,26.25101158782488,20.06408598216064,34.31851221100159,26.86511176018738,25.13427800464423,13.807561708291134,14.4085194662862,21.49801887143462,22.037509211704588,13.81254563641262,13.118633300282823,17.350498227188673,17.66041621298967,8.778483199305647,8.077372503777223,5.669997149041335,0.738218038239338,-2.935847223406136,-3.78300341623065,-6.996383423247511,-6.480267611329475,-7.763859496836543,-6.505300949572712,-5.746428167278432,-6.480322993143891,-5.635257189039684,-4.8455202133851865,-0.7975417301238934,-1.1933853422981364,-4.95993300848686,-6.374551092922263,-5.059676958266178,-0.3614229348983187,-3.6424113475168207,-3.929994227938893,-4.344753766400943,-1.438382412708276,-5.911515610700346,-6.715662837482637,-5.230705947754301,-6.300942439732633,2.670036145119627,-5.196568369901869,-6.563123756812076,-5.618598213410248,-2.4469198901859714,-5.296096164161097,-4.652987408041862,-4.61182326153001,-3.189100098288603,-3.097266158974862,-2.712842321312338,-2.7478273147884207,-2.440136598914539,-1.5046894787812526,-5.523292620897885,-6.523453943375,-4.51851438212032,-2.1462305279874565,6.55937439680677,-5.590245698975627
2022-01-10 20:14:42.440,-2.034907221314993,-5.789270191411493,0.7601750336910288,7.3188839452140915,10.240718935151309,13.208614238439033,16.95801435397198,22.225822500944,27.58470193254484,39.86365327943679,26.066733542309333,23.344841503441696,22.847737760106337,25.38118539757344,17.576537776475636,32.60050434730872,26.336033461773408,24.09985296377133,11.603052083351129,10.699543041684787,18.80658738655278,19.91238876260717,11.700860880131192,11.0084257104335,16.20574773062128,18.4503973174716,10.10141785179538,10.53481344506561,7.834984145664878,4.955851161462034,0.9993693240682564,-5.207087744104104,-8.048431557435961,-9.560246317243193,-11.44763205398677,-8.135217456914933,-6.048546839204738,-4.98950038195283,-7.029027260379934,-8.125751684263419,-4.63155748020603,-4.341421488274907,-6.767994440779129,-5.624852150618956,-6.638147784679127,-5.222102524132236,-4.236599272531167,-5.183116698509176,-5.234829430168512,-3.102177340983994,-8.279013546315221,-7.792558369506747,-9.936399411181489,-8.192365812742098,0.7567030202029394,-7.641278101588986,-9.031495147593844,-7.726860542053192,-6.044209762638072,-8.506134108536651,-6.555209807992648,-5.770027266214951,-3.579854901308101,-3.373016763470117,-4.973264819800754,-5.090820982913325,-4.14250000888088,-2.854788285635492,-6.206777644434009,-8.342334629444847,-6.139719500318273,-1.654873091415889,5.201119084268127,-8.808291200896068
2022-01-11 21:01:17.670,-2.1208496257885283,-5.592993724447329,-0.2678477009932773,5.994564927946678,10.103941411372393,15.18113693137281,17.085254706253348,23.51598742617119,26.485887038764904,38.028096843637634,23.902915268935345,21.017853415837426,19.885486578190985,24.42435279808409,17.70218078348074,32.243437400200335,25.967553177729403,22.6635016040882,8.658633696037986,10.680965514936142,20.313907718055813,22.08021705371699,12.312335633766592,11.549519760643417,15.44334202951196,15.924882450991795,9.556379320068883,8.574490682458736,4.516776354450917,1.724605517547472,-3.533916556210679,-7.702860508076542,-10.469834678472864,-10.320131773146414,-11.16840125174009,-8.363090001140863,-8.133189557391773,-8.37823009298462,-9.184840802540384,-7.101219799634775,-3.638212819276438,-3.320890419620893,-6.891729542705098,-7.61106149397534,-7.556520406837587,-3.3016071399694287,-5.962780513965599,-7.461382079308271,-7.697679339464422,-4.137118792845737,-10.781819441924382,-10.346116271353004,-8.295914661304481,-10.635256823114531,-3.1902081777063014,-10.333098310217885,-9.41288191651941,-9.979186438465268,-4.637192710605998,-7.699347157848438,-6.26122231164053,-7.0090122179852905,-7.210938581031778,-7.923696332353575,-6.430317160826986,-4.917109719226778,-5.507236975357984,-4.354989785380118,-8.24256622109584,-8.866581910234432,-6.025516068758883,0.0839698571176706,2.818198322025028,-8.164669582064448
2022-01-14 20:42:21.000,-0.0263923912179509,-3.747769393580207,2.587077795369282,8.180782760761486,11.999414516362531,17.047117007009234,18.64161241926467,25.658242092863315,31.195057466002115,42.44542324299601,28.42156687063633,24.432987302473634,26.9859117713872,27.64362845079341,20.985226078530253,34.35534145147409,26.76983736786321,24.49483988398896,12.002337711970473,12.25711551291345,19.522983464656768,20.73226421128588,11.992931615045585,12.610284043594495,16.984576221807956,17.916740657572443,9.439573619085625,10.197545745795324,8.084888284335543,3.5308243270427577,0.3669574628625999,-4.005796350639305,-7.033826597418046,-7.787122655047269,-6.935265551811981,-4.4647858976762285,-4.260578609499265,-5.6595700905598685,-5.759118942464272,-5.836038126220696,-0.0666474894173179,1.5391068437594049,-3.956270224532742,-7.122014065099974,-7.43023396130864,-2.692659891140196,-3.2208899952549546,-5.848809891066748,-4.198129770004793,0.7332204791165953,-9.881489638095257,-8.82454799691349,-7.006580962705049,-8.286286450194364,2.5233660151852595,-7.766645037672034,-7.567000539846922,-7.226419081314554,-4.110280432131984,-6.2545024114162,-4.58472845794575,-4.174296249397355,-2.1399281180067584,-2.1005658529585185,-4.447878927652529,-6.450219745592098,-7.3046155363045,-5.294706731492142,-7.429061953275647,-7.391975481927292,-5.725780264973873,-4.236441857785386,,
2022-01-15 20:58:03.060,-0.0686804615894544,-3.666314071744648,0.0650071024845047,6.750343245877432,13.434416774800283,17.623216124085403,17.301436210275682,24.14506552254207,28.01450836962757,42.5543832871632,26.28721362624417,23.40244509246766,22.49801816200096,24.551403185905457,17.08106901362948,32.112369540405254,25.943643503175675,23.00924464739833,11.47108345957124,10.0452101280553,16.2887863171864,20.02498737849097,10.826576711843462,10.43248098016284,15.769955223711165,17.7002022482165,9.206504303661983,9.382457266117676,6.949748856060503,1.1738519266749428,-3.446281239026724,-7.831028252439636,-10.125135074763154,-9.4222497805822,-10.120661270268894,-6.951030884504774,-5.736621384612344,-6.520226424490175,-7.915321838654038,-6.208530258693116,-4.08280120156727,-6.005966224399649,-7.373242316070798,-8.079626092332756,-6.640256239476137,-4.976436099020696,-14.508984920820817,,,,,,,,-6.095605365286995,-10.76785847140696,-8.321965795384584,-7.990958142159023,-5.055789983627981,-7.357362048680856,-5.198028243916851,-5.708388451462375,-3.9486246537258185,-5.020807784157591,-5.501748879344253,-2.907147135158048,-3.980267515426657,-4.833413591532081,-9.82609170809346,-9.644099820536526,-6.715664230588934,-6.384330331429584,0.503710736664609,-15.871515599101553
2022-01-15 20:58:05.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.77061573561433,-10.001692955103666,-11.355893186038632,-9.391701753741778,-8.070322329704826,-8.774621315414015,-9.86498124236456,-10.296988350437356,-8.253918380474225,-9.80523907802548,-19.72078883366875,,,,,,,,-6.813741855662376,-13.043816126983964,-10.0741948453084,-10.55477126807637,-6.110640238771825,-9.693240223321444,-7.628482265878895,-8.020206620356028,-5.022309272829184,-6.669667981854865,-6.907690024226661,-5.998131300095252,-6.148258435427599,-5.098124288243475,-9.826022289896905,-10.217973176875814,-6.715594812392379,-5.430357912217278,0.503780154861164,-14.908592833737169
2022-01-18 20:14:00.100,-1.13418104434793,-4.790294176127489,3.3571627212760897,7.853297525855293,10.880486451417756,17.004123248099052,17.753098274268137,24.3340273977808,28.650971632813803,40.92325803246688,26.80366911313986,22.517521247011786,21.98657369430202,25.15574919574315,19.39617574657008,33.02797695739044,26.527323226450232,25.23315361858717,11.457028365176892,11.53750761890539,20.08746416666896,21.38945362822223,11.273302167922248,12.274379115732357,15.67994929044436,15.612465686476993,7.860117178403222,9.581165160223932,7.287618858892014,2.2151991082076523,-2.0146141606032235,-6.022467392081914,-8.097839118638404,-9.6704905191725,-10.679545618894,-7.679297745376841,-5.5816650357924775,-5.15652756804676,-6.827182420328587,-6.366620617876022,-2.112457893547671,0.7176678352574047,-5.278482050035226,-7.158221892717339,-6.372599199836634,-3.9168488915742974,-4.200852733230228,-5.412662597745209,-4.72376214094707,-2.159166113492028,-7.261230540923325,-8.180973878813191,-8.20392087994139,-6.4239766983551,1.7069463763361408,-6.837227056014893,-7.711327881045744,-6.15549566231658,-2.7420938266650308,-4.73853824082269,-3.591971286247482,-3.67455598771263,-3.0646777680022805,-2.341783120603495,-4.077414876141749,-4.417063710317272,-5.222918001638275,-4.012854079026763,-6.299332410605086,-8.493487844593453,-6.742110561293039,-2.2379984998509816,4.289857094351106,-9.333499171929413
2022-01-18 20:40:28.750,1.3844345716654782,-4.528058935990936,2.854980209468051,8.206355649706376,12.451040741204132,17.226043311741034,19.47941400121073,26.116823323414245,31.23274757827519,42.15581859283662,27.846407283077465,24.556575647554848,23.265465571821142,26.34466131675552,20.14035220962934,34.25326338735555,27.444409168453515,26.91813135568572,14.127948083820664,12.444917605039288,21.62516827948611,21.765176290555004,13.087532347168429,13.210532316082729,15.529609935965,17.221026254978934,9.361267802364504,8.791132820623028,6.283141242673421,2.9345409929989064,-2.598762960069146,-6.040628160011787,-7.38789229321006,-8.664257834253286,-10.198063407748164,-6.04702077071296,-5.6886028021770425,-6.120746283763824,-8.055981838572839,-5.224654698151396,-1.118738541404257,0.0792374813413215,-4.412794321580682,-7.123957796991347,-4.405091673603384,-1.9614428272362137,-3.6080512317982727,-3.3373425132250656,-2.0154958960012177,0.6207264603068178,-10.342702328688045,-7.265166257222484,-7.466274892823536,-7.783825213357392,2.187402968760517,-7.048220186731996,-7.505825205356984,-7.687715447684088,-2.924553659815908,-6.231520701129991,-3.183140964068036,-6.332513915790521,-1.9363575984680903,-2.2223890518866387,-4.21770722500448,-2.913387511624494,-5.1578974569776825,-2.268733195672846,-5.962907577979191,-6.537229936526229,-5.557737371631424,-2.746799679447493,4.581456998417101,-10.421226259299956
