dates,oahuoahu0083_0001,oahuoahu0083_0002,oahuoahu0083_0003,oahuoahu0083_0004,oahuoahu0083_0005,oahuoahu0083_0006,oahuoahu0083_0007,oahuoahu0083_0008,oahuoahu0083_0009,oahuoahu0083_0010,oahuoahu0083_0011,oahuoahu0083_0012
2017-07-14 20:25:52.000,6.147526408050358,12.106383803092855,22.39786571821512,17.942908929570695,16.19907224409933,13.503223398273722,15.927367171768116,15.332506593605206,9.895325611833414,9.713307256998611,2.8384800155720606,1.1757629516440256
2017-07-16 20:20:16.000,4.529765142266574,7.6777069355012175,17.408473077100588,13.130701327221368,11.474944860088028,11.648576189462688,11.608922141201178,11.291970449339203,5.803595516868531,5.7211127386358855,-1.0938279127929669,-4.924785853578009
2017-07-16 20:20:17.000,7.194679557890416,10.096706510063322,17.772141513591585,14.070313527022837,10.747478411910324,11.648566423508196,14.048738337525716,13.28640181171041,6.200577439614114,6.173994481281727,1.0039250789310494,-4.924795619532499
2017-07-21 20:26:05.000,,21.99160225457158,29.541160926953367,22.86722024610635,22.14863183756136,20.49456247030077,22.966649962740657,22.4729683692285,17.854253573376596,16.62400034807885,7.902791593118586,6.052241456964808
2017-07-25 20:24:30.000,,,,,,,,,23.334956449618527,27.47083090805793,18.427771907504944,28.059959852032858
2017-07-25 20:24:31.000,,,,,,,,,23.26235449062697,25.46357169575959,12.201026908801692,21.99540456563017
2017-07-26 03:12:06.100,-6.165637393368023,,11.635401480776409,8.252841467548622,3.198082256294581,1.3198925636634566,0.5926200433578881,-0.8879213719675985,-7.1463338490762816,,,
2017-07-27 03:14:00.000,,,,,-2.8186690628654376,,12.442008200643963,11.745968637830307,7.773688729492544,7.607859230781273,1.0289382300540768,-6.390844019296079
2017-08-07 20:22:36.000,27.592599080570672,26.90728393889417,,23.063418002893453,19.08519759729672,19.362600547562565,21.63873145391936,18.25885995771096,12.28027192375003,11.60969202645684,6.173052742616751,4.646713193684501
2017-08-08 20:20:39.000,,,,,22.45265365228453,22.04825801748001,25.42846149089139,30.26551824572861,21.35836171179083,22.172582750618485,13.188214705092609,11.755065645022237
2017-08-08 20:24:54.000,14.384161956247274,19.056192070866512,27.389874185294605,22.53631047912716,19.991742863067834,19.161850491335564,21.558293261241072,21.437873670272257,14.250625547124288,15.87459245776028,8.584097511663131,4.701604198954598
2017-08-11 20:27:01.000,3.1916856980208745,8.73006963639278,16.227983640334045,10.587362402810394,11.957681384380368,11.011080601023048,12.664900005652555,8.98307209998024,2.883721754390132,4.933984779987201,-0.0919517623665324,-2.37237650936021
