dates,oahuoahu0045_0001,oahuoahu0045_0002,oahuoahu0045_0003,oahuoahu0045_0004,oahuoahu0045_0005,oahuoahu0045_0006,oahuoahu0045_0007,oahuoahu0045_0008,oahuoahu0045_0009,oahuoahu0045_0010,oahuoahu0045_0011,oahuoahu0045_0012,oahuoahu0045_0013,oahuoahu0045_0014,oahuoahu0045_0015,oahuoahu0045_0016,oahuoahu0045_0017,oahuoahu0045_0018,oahuoahu0045_0019,oahuoahu0045_0020,oahuoahu0045_0021,oahuoahu0045_0022,oahuoahu0045_0023,oahuoahu0045_0024
2018-09-11 20:32:25.000,27.3300269729594,42.53861232675797,,,43.79108711442765,49.77610469115041,62.31401022616872,60.15708355211682,58.47438584978431,62.220436949963165,59.5860826804684,56.25837851396027,54.55826543144939,49.385244191914246,49.01131663368621,47.78153515502264,40.738738218018646,36.65070458126959,36.735355070426905,40.05299112378994,50.7722833096006,51.94134460528297,44.90004274211715,23.38633766461249
2018-09-17 20:35:48.000,9.58613475099111,21.02945354889154,,,,,62.32110332689759,,,,,,,,,,,,,,,,,
2018-09-17 20:35:49.000,9.586172136307091,24.097643842561524,31.22353876362443,45.52578139526224,51.79578750792531,55.723140588835,62.32114071221356,61.613318360309066,63.71424745602172,65.15168183651643,68.24645902745233,57.99464504820635,48.69506600662822,39.71360726539061,31.029637566292266,24.652968866043704,29.288042363525378,31.441084154466985,39.75153982589916,38.17447440154483,34.4453420719934,32.30085428281508,27.62055907794332,16.221255569211003
2018-09-19 20:37:15.000,,,,,,,,,,64.19703279803247,65.12933067546062,56.03894988875895,48.47327638961808,39.92706312494369,32.34707603370128,30.34613436608074,37.19587876542643,32.8678142271331,37.86417855370293,39.80034892387193,33.57299961218586,30.464592700934105,29.367318617485008,16.772439611248483
2018-09-22 20:36:58.000,14.661386826253148,28.735451342879543,37.89545250655208,47.32336176260946,57.74186556475664,62.85857042295526,68.06595397969916,59.25248167006628,55.82561717149361,49.787622151997965,47.50380968429726,46.260234427044736,40.992310992598405,32.06807072576572,30.01017240651162,29.63365667681909,29.40942694935062,29.38368930562004,37.03505938773514,36.99146137873616,29.860733640059404,24.65036761024355,22.947296483094423,8.9539140335188
2018-09-24 20:36:38.000,31.244538895962737,44.53806946899549,61.22195628690006,73.69339085826365,83.06274459551072,90.80647861343115,,,,,,,81.36997660212948,,,,,,73.33126391819532,68.72353869804347,62.90403187640069,59.43533792860487,56.35566349754527,41.195063093507386
2018-09-24 20:36:39.000,31.87443418006221,45.739324148830256,64.64528987479402,75.95976287289656,85.266762560793,89.42277263412757,,,,,,,82.68250939705432,76.94009588916691,,,,,,70.93613710427077,64.5928507560789,59.43827612909925,57.60079961728402,44.620206646706166
2018-10-02 20:42:45.000,13.101634499169815,24.596622866244,40.41961239978705,51.42325917052691,58.65523494401956,65.86340625377346,73.46523498011135,64.62529229231059,55.83819923079226,55.50722690719216,55.08477757362314,52.00001422468871,50.551489869848105,46.5148159771964,45.059058807287926,43.91502493324207,41.02347090167858,39.70969412523628,42.55676014460033,45.87214438846603,45.78678714193621,45.07917718428424,46.05247120137239,21.93777613531165
2018-10-13 20:36:27.000,17.176669882963726,34.85271616459527,44.18337103216447,51.13032102173851,60.04517005832352,62.77371594499416,67.21913927859633,64.73408592356517,59.75015001775776,67.96571587789764,72.1579533336008,69.64032440626839,73.19087071383376,,,,,40.94982551918567,52.69878059137355,69.7211972445046,74.44551320966157,74.1721569563338,,
2018-10-14 20:37:33.000,14.680264847815424,29.295075692417345,39.76136299796397,50.452672420536025,58.33786834804918,63.50976717085389,67.7978046230288,64.22207694497452,62.11624407943821,67.72981151425265,70.86973283124877,64.12899611479236,58.5950853805105,52.19770072388854,50.47930111268232,,73.50458004312603,42.49288201664438,49.8843599409554,60.13341617844212,60.4948382811002,,,45.69349746302742
2018-10-14 20:40:00.000,17.682538945512917,32.590807082976944,43.68627522917922,49.69935182742616,58.7650354348738,63.32485260366195,67.78359538154604,64.62046349760239,61.27802600392676,68.78405682582351,70.60628529932528,70.55856028988414,71.40532022652447,58.42709954377574,52.812338479537125,49.72847569789894,49.19924145987314,44.81687472534625,48.71974463146491,56.48000184087933,56.34867031762335,55.3755548373337,59.72160878039851,28.825276265679445
2018-11-08 20:36:36.000,19.32613700982182,45.54716676114359,,,,,,,,,,,,,,53.539989628614805,47.60011247173056,45.4462954212177,50.37150907198333,56.449905354199934,53.57941738640106,51.0915841878374,47.47680346824563,
2018-11-11 20:37:45.000,14.090376986364596,34.70978246330918,38.62702201753489,40.91546131595129,46.93218565841988,50.588214407196105,64.90333065673711,,,,,,,,,,,,,,36.976199061976814,28.79246408903657,39.62883700996214,14.045851909952058
2018-11-13 20:38:04.000,20.91804002922728,60.11083215236647,,61.64692072205885,82.3542108401689,88.23738308061216,,,,,,,,,,,,,,,,,,
2018-11-13 20:38:05.000,22.53505576253635,60.11070311243623,53.20754396218057,57.10202971800404,77.95088673545733,86.07485348499205,,,,,,,,,,,,,,,,,,
2018-11-28 20:38:07.000,19.41514578881725,35.1478957418939,45.16169343534106,62.91438969246929,76.81957414558246,79.87284769747703,,59.981858575527504,46.51235880076612,51.54344670391293,42.9139309349272,38.97483490134003,40.57230504204313,45.54662257996269,45.7549655307824,43.91850874978032,43.51686721286964,40.4560299915419,48.71603510443152,53.045834081281896,61.97597938298356,63.98578162850679,36.58500852291687,19.62463835835732
2018-12-01 20:38:30.000,6.521615007251787,19.74304643902136,36.43072531738079,60.46472321722712,75.5051259914266,85.71895096909306,88.06533015824833,85.33135914013182,79.87633634216262,82.54740863577773,84.316047650607,82.54302776944546,80.84345329491055,,50.70600942597082,58.632066982636594,63.45838896271953,69.36310257617353,73.03957242427445,70.73860066406513,73.67504302937267,74.68221074576633,,34.713901594611144
2018-12-03 20:38:52.000,15.90411472554723,26.74396025923093,19.58337963909892,24.26840971898395,31.998147884533488,38.75368858735588,43.47751919696297,38.63837694295226,39.25457499186278,39.14748561494626,35.10378005994969,36.602528689722575,31.10573937221244,27.01105862010364,35.63919159675966,37.07913961035538,37.016338036406346,34.02307306978869,33.95799091562419,40.3980059865698,39.09946747705397,36.33660883223707,36.831942300104544,19.31147811450228
2018-12-06 20:38:40.000,16.5932568386019,28.34161737784048,37.01847704404377,,,,,57.83332402093876,57.49449332275031,65.27268637481008,57.33107851792658,,,,,,,,,,,56.29904170372321,69.53261103324671,37.5537659084786
2018-12-27 20:40:00.000,14.379776795114516,22.69354177228228,28.473256953918263,33.229435362365734,50.93238990633765,48.7147175970297,50.22447551255291,45.14958495396982,42.3658116406476,41.65822777341495,45.30936567763165,41.03652630229373,34.86165349962583,35.242843528887626,35.836775533858564,33.472037769907615,31.0116427615874,29.61360001465234,29.834182009050085,31.06997403219551,27.739708475853337,23.3364009305972,18.75226213500424,2.9410441707920465
2018-12-27 20:40:01.000,,22.69330906714612,25.308313984931782,34.91260724527089,49.13359391329731,48.76461309626264,49.59467214274456,43.59417079783437,41.20608766597656,40.8088553886118,44.525709184831655,38.14007324556351,34.070355059064866,33.35984924833481,33.532433375278146,31.319233516492844,28.937480721681816,30.53103318695138,30.39298378295171,30.10709648661332,27.70979216127824,20.79845949014126,17.70142379489892,4.178280300168109
2019-01-02 20:27:59.000,,,,,,,,,,,,,,,,,,,51.71247965090416,38.22242970459404,43.37902417887533,39.96757415920806,35.512352199771726,18.443985898675862
