dates,oahuoahu0042_0001,oahuoahu0042_0002,oahuoahu0042_0003
2018-02-15 20:29:27.000,154.40067385609157,159.70362071743392,164.50402947828695
2018-02-15 20:29:29.000,161.41333822774268,161.31965108879098,164.48393706726364
2018-02-19 20:29:54.000,,154.969852554091,
2018-02-20 20:29:18.000,162.65014627817976,162.96773654212964,164.3839866626236
2018-02-20 21:14:35.000,158.1177637078832,159.9931181931672,161.59023024974192
2018-03-05 20:28:55.000,162.31716956275952,162.6347598267094,164.7543214591195
2018-03-07 20:30:17.000,160.7637328627339,162.6363465626287,162.75115255665352
2018-04-25 21:04:52.000,167.4532547622493,,
2018-06-12 20:57:57.000,158.01980366227497,159.9656112924105,163.99028972073015
2018-06-19 20:57:14.000,159.00029336359466,161.27366198529575,165.0423171588923
2018-06-20 20:57:10.000,158.45152128869125,159.8897891338786,162.3750572825065
2018-06-29 20:33:25.000,167.15167616173122,170.2550906526821,169.23085953018173
2018-07-12 20:33:46.000,173.10527223410347,168.8483927571384,166.4170241811969
2018-07-16 20:34:14.000,166.3201218991919,170.4037675450735,168.09341181862874
2018-07-16 20:53:37.000,159.52338702984798,162.586167282573,165.03127618527057
2018-07-20 20:34:18.000,163.15919170783152,163.30599053862002,166.34313790755252
2018-08-12 20:35:33.000,162.01026080984866,164.2941519126451,166.44388273181917
2018-08-15 20:35:32.000,,162.34481921888826,164.7529166679743
2018-08-30 20:36:34.000,163.25181548031276,163.64351628393953,165.57323547132972
2018-09-10 20:45:34.000,,,
2018-09-11 20:32:25.000,164.94621486933465,,
2018-09-17 20:44:08.000,159.2322428319827,159.3800187335553,163.2366693110771
2018-09-19 20:37:15.000,,,
2018-09-24 20:36:39.000,172.71606560495454,172.56282428386498,176.35956192223875
2018-10-14 20:37:33.000,158.44326375382155,158.35505818564812,162.11688917226084
2018-10-14 20:40:00.000,156.51847427862543,158.34084894416534,162.29082693241426
2018-11-07 20:33:05.000,,,
2018-11-11 20:37:45.000,166.74150726789574,162.32772679592924,160.17847259543694
2018-11-13 20:38:05.000,165.08054877088628,165.5821014514996,168.17187974140944
2018-11-28 20:38:07.000,158.86255797040607,161.1386673774963,164.579250951673
2018-11-29 20:35:00.000,,,
2018-11-29 20:36:56.000,173.6112672910991,,
2018-12-01 20:38:30.000,,,
2018-12-03 20:38:52.000,,,
2018-12-06 20:32:34.000,,,
2018-12-06 20:38:40.000,150.65262298450347,142.98477959178385,
2018-12-06 20:38:41.000,150.51955456259466,143.06576988917377,
2018-12-27 20:40:01.000,157.97780294917757,157.9745908185842,161.8497602657978
2019-01-02 20:27:58.000,173.94277660782078,175.25048920065043,174.4725538479341
2019-01-02 20:27:59.000,171.823049500791,172.142764693427,171.4881505352892
2019-01-02 20:40:34.000,,172.736330040008,173.6613757026914
2019-01-07 20:27:25.000,157.08128203543126,158.75233433833492,161.40160466929402
2019-01-08 20:27:22.000,157.74814817151494,158.91076717030148,162.73561436250557
2019-01-11 20:35:59.000,,139.23814329951526,
2019-01-12 20:40:13.000,159.86721740022233,161.8641662422986,164.57642200075594
2019-01-15 20:41:59.000,157.76526359346036,160.04137300055058,163.86966744931155
2019-01-20 20:37:43.000,,,
2019-01-25 20:39:40.000,156.85107605772765,158.6952695898809,162.579771145167
2019-01-25 20:39:42.000,156.85068514883508,158.6855450537164,162.58888797995368
2019-02-06 20:39:43.000,,,
2019-02-08 20:39:52.000,158.31207352125153,158.79863788739132,161.3953699212799
2019-02-11 20:38:44.000,153.5734570760832,152.11346188413512,153.74289167499683
2019-02-12 20:42:43.000,156.6601534174253,158.53824868809846,161.08135146870515
2019-02-18 20:41:54.000,157.38554474434935,160.35518168258787,163.28701018146415
2019-02-27 20:21:27.000,159.24519573069904,160.4743141895201,163.79162373410003
2019-03-03 20:43:09.000,159.62568746662058,161.89905608832166,164.64489233476942
2019-03-08 20:41:06.000,152.4088609782638,156.75176741709308,163.37840550417292
2019-03-10 20:42:39.000,,,
