dates,oahuoahu0053_0001,oahuoahu0053_0002,oahuoahu0053_0003,oahuoahu0053_0004
2017-08-21 20:20:34.000,10.58412723325274,13.637940119952043,19.825722153168503,19.316330197833462
2017-08-23 20:20:47.000,19.12148596061125,22.600786668452898,38.76586392002248,49.93230580025335
2017-08-25 20:20:49.000,15.159755008413958,18.92498336400944,21.89351539410844,25.81866220917128
2017-08-25 20:20:51.000,20.380573796605503,21.36506285706691,29.08368051371816,37.80315335153716
2017-08-27 20:21:01.000,13.85254339656174,17.35467595912101,24.13938069702396,24.446788981273663
2017-08-31 20:21:07.000,32.25560109189142,33.42386817057847,33.584193327057505,28.201328331757907
2017-09-03 20:23:07.000,22.81598472805888,21.732143523308604,22.496627299387164,29.40025810906777
2017-09-03 21:38:20.000,,25.55468006141821,30.857121378928333,31.96388167646197
2017-09-04 20:20:59.000,31.595755400988534,35.20953930540645,44.79832526409258,45.66419557225044
2017-09-04 21:39:12.000,,,34.00851388063238,30.39531719343342
2017-09-04 21:39:13.000,,,32.43469300448803,30.52288332474389
2017-09-11 20:23:13.000,19.46990679814145,22.56972035617124,30.19191176849567,29.78742508938761
2017-09-18 20:22:00.000,17.351264670468197,21.35404431093655,26.17630929445587,28.78457612183373
2017-09-18 20:24:46.000,15.149850908414557,20.220121540349595,28.812233498961284,32.6911354628158
2017-09-18 20:24:48.000,16.290321337542025,20.95282654676284,27.274794310047263,32.45602665332985
2017-09-18 21:38:19.000,22.80020677249899,28.065176772690307,30.35635292965605,36.05227561138105
2017-09-19 21:37:21.000,,28.679375490473824,35.70388886755217,33.82385405396221
2017-09-24 20:27:07.000,26.92251402744782,30.96810715724777,47.706001050426096,55.910736070537816
2017-09-24 20:27:08.000,27.008970119297587,30.07045604035197,44.68639057493047,54.375774923611225
2017-09-29 00:58:11.000,17.6114672011577,20.04311407409657,25.06664434341602,20.35993018928507
2017-10-03 20:22:50.000,22.313128403110003,24.702579553243208,24.942490671474022,29.470035172556297
2017-10-05 20:23:26.000,,22.88931727802864,27.90679208199657,27.029948782555287
2017-10-09 20:23:35.000,19.41902846416753,20.456031006512934,28.080559103180992,24.401369754443287
2017-10-10 20:22:11.000,14.356315961913094,16.742178700766896,21.5626977981626,21.00736328142472
2017-10-14 20:22:51.000,27.23103086248029,26.964427511531422,,29.796007151202023
2017-10-14 20:22:52.000,23.646611557688534,21.83288714481761,35.342387422708995,31.365918065411467
2017-10-19 20:23:03.000,20.122045735317247,24.206452858017315,23.56996957701736,19.03742008664716
2017-10-22 20:23:13.000,18.30262977994713,23.021687372103862,26.651702469963222,28.53123743587647
2017-10-24 20:24:47.000,25.232939366527813,25.54345706467896,25.05497697487768,29.736061697590923
2017-10-24 20:26:57.000,19.79545472905101,21.57710316764492,24.14471220258952,28.65213860520822
2017-10-24 23:42:59.100,15.838742373005044,15.724352308138496,20.50370876741912,20.605405123855693
2017-10-27 20:24:27.000,16.940433109662358,18.731145815595355,25.480302021749782,23.079196093434334
2017-10-27 20:27:21.000,20.923752675629103,18.886466078814383,21.35762326755059,21.2072195838238
2017-10-27 20:27:22.000,25.13765615290524,21.601720840109564,22.02384884677324,23.6715893378908
2017-10-30 21:11:13.000,23.525102504075704,,,
2017-10-30 21:11:14.000,17.09482024018368,19.327516259991743,21.742646256526065,24.40443273924071
2017-11-02 21:32:26.000,19.127699423046224,21.285833026377613,24.3741955718098,24.85405313841304
2017-11-05 20:27:20.000,30.58529910341263,21.83776969243709,23.753164772472022,25.901743351379032
2017-11-06 18:37:03.100,23.76621125352811,24.552402206806608,25.15230884680536,24.39322401714663
2017-11-22 21:28:01.000,26.275001441697093,24.98215179076365,36.535338742646445,46.89365504427201
2017-11-24 20:24:43.000,51.395071175761714,54.87063390153333,45.56120355484744,28.387290662115213
2017-12-04 20:25:07.000,26.52560784853129,25.276205863466263,25.10702134991189,33.577983895145195
2017-12-05 20:25:58.000,46.54915905342593,52.03255229554158,52.935510230141695,51.41823461985396
2017-12-05 20:25:59.000,35.691519179269086,23.94921229562122,27.20783923488052,29.363081253166506
2017-12-07 20:25:37.000,26.292144448653428,22.697545542687383,24.272650033871347,21.91143919410306
2017-12-18 20:26:21.000,26.96242836312011,32.96508077523971,32.688847245732866,28.026893743194023
2017-12-18 20:26:22.000,25.129528106702367,32.15754231778904,32.56307760362529,29.206219339451696
2017-12-21 20:26:21.000,26.722107771021296,25.42683428806557,38.33781410112913,37.098747280388174
