dates,oahuoahu0040_0001,oahuoahu0040_0002,oahuoahu0040_0003,oahuoahu0040_0004,oahuoahu0040_0005,oahuoahu0040_0006,oahuoahu0040_0007,oahuoahu0040_0008,oahuoahu0040_0009,oahuoahu0040_0010,oahuoahu0040_0011,oahuoahu0040_0012,oahuoahu0040_0013,oahuoahu0040_0014,oahuoahu0040_0015,oahuoahu0040_0016,oahuoahu0040_0017,oahuoahu0040_0018,oahuoahu0040_0019,oahuoahu0040_0020
2019-12-27 19:31:11.000,158.44754518977877,152.3245292636927,155.21715506868807,162.78147806456153,162.23221416993167,167.24830760728935,162.94411134470673,163.22483442747756,158.2282518079882,160.8202492679318,155.57087838626512,156.04858130373856,154.07713237560105,154.49055159460025,147.28731723250834,151.33923053003016,15.694288830293203,14.68533707755084,14.728113542103536,14.681867971823792
2020-01-06 21:23:38.090,155.89382951623608,157.90137495963145,162.0736662905804,168.18123252547232,167.84101011995477,169.90979724196964,166.7653732753654,166.5455219402658,164.27115257032963,164.5776923202385,160.2882085960037,158.35690260255296,158.25554437984314,156.80711426182225,153.6078358976069,157.27589115626165,24.49830724722156,26.812898258944507,24.5343726174088,25.131297915211945
2020-01-21 20:46:15.000,170.90024263535668,164.88615449145777,166.51944254310197,170.03068401656174,173.51651958120308,173.84320272987756,172.83421913080244,172.85234554659365,168.44518371213647,167.62395223247455,162.65173164231405,162.78131341829643,163.7677534522711,157.28343274780684,157.54413282387745,165.47431985056494,31.502752765455583,31.22958400961104,28.879291744769755,27.872018352879348
2020-01-21 20:48:17.000,157.86187565899567,155.4856645585698,159.03100217099225,166.98893712186845,168.65742045557906,171.42441250641556,167.24530137031553,168.15764639145067,164.01288373000378,186.5839943791946,,,,,,,,,,45.46994487543672
2020-01-21 21:07:46.000,134.4125889177545,139.4533753899045,148.86286567475943,159.2513086346333,159.34013443350554,155.6284040697249,144.89545945308683,145.47717631017596,157.6077554125462,158.77670413815645,154.5922657353251,156.12747900206438,154.57835851448283,156.24700415839212,155.33966471496873,151.16054663279897,,,,
2020-01-22 20:47:34.000,161.74965142077508,155.33319409419963,157.4800183297323,165.53891675815655,170.97996710695,180.28340871288847,193.01288410887148,190.1877991631445,171.64244860809515,164.2056976376253,159.13581286209788,157.5130496035543,159.0876559465041,159.14522551284026,155.3613034332666,161.09382146373224,28.55898679162821,,27.72062241580184,24.87797576747565
2020-01-24 20:45:00.000,155.8429901049628,153.62303014357096,156.2034037045709,164.66172733128124,165.77342525675127,169.09723805726566,165.5153141953693,164.3722974395648,161.32286675763157,161.69578788263448,158.7445365306834,156.50334424868785,156.32874746695964,157.39604331425107,155.58725757581445,158.20118531623464,,,,
2020-01-24 20:45:01.000,157.72673799942547,154.40039734579523,158.98517743448733,166.37345802188617,166.15230102497904,169.3992344670854,166.94518326059242,166.4909472421604,161.39010939839477,163.65374727173742,159.86320554753385,157.3969553914175,156.9620768436992,158.31105382840275,154.69858135461553,158.44447436005402,25.524386953806463,26.327128291626675,23.49304135588772,24.84982660262153
2020-01-26 20:44:55.000,149.64128393774425,150.34466508658377,158.214437761726,165.04466944898437,168.35837938821084,167.96435648506406,163.26905833897578,163.0821647344873,159.07022851032468,161.49622478021544,158.05610919014623,157.40611498030805,155.3573311425366,156.5178630649697,154.924261302407,154.16710520547556,24.30856069401053,25.26779345075164,24.57625084361948,24.05549659014961
2020-01-27 20:47:42.000,164.782527117312,157.95766325463995,159.8309906697084,167.3035727845384,166.9880647144654,170.43254079980085,166.40476106000267,167.58843984912966,165.20575174960322,163.5027441603271,161.37997132675423,160.12475642372112,158.72008549426272,159.9688815723514,156.89410498410697,161.3531846875917,28.528549861778927,28.82391966114125,26.51926769498693,27.09671545199928
2020-01-29 20:47:03.000,190.56980368194544,,,188.4956747274012,185.69900890465328,199.20386062634608,,196.0107480402609,186.371402155995,186.79067480792372,184.5748331809864,185.4475756333988,181.19368310248524,169.6916339276452,184.4020836566403,181.30825450032896,36.48052631657233,37.15116127748019,36.28269559529912,35.08594262690066
2020-01-29 20:48:15.000,165.43425418086585,161.6088320016624,165.5666373043804,173.56090975288086,173.23165565295696,173.75483204866228,169.54886973309257,171.4725301277562,167.75154570271346,166.69995796612378,162.7370564871479,162.85324605572296,162.8782713786739,164.60871104758755,169.6864883044117,168.9706608451795,30.151312462768352,31.841666687463515,29.13007470775788,29.21436159194469
2020-01-30 19:29:31.000,161.3872940091677,156.43791032320897,158.91472172808653,168.20178609109172,168.23933590386673,171.8121585857821,169.267699662016,166.71494151644129,164.71780446452254,163.5627730876872,159.27857713420815,157.46320153875297,158.3241651228673,155.22330994195676,155.0362968336476,159.2367996016596,26.978843286136943,26.8967239666234,24.894634318692635,25.688455451158223
2020-02-02 21:21:39.390,,,,180.2477465294249,173.3996185536229,172.792834952317,170.15525780374622,172.17327080693528,168.23527304568708,163.60627192234776,161.92139828559192,160.41085594013828,160.99246617464112,159.97941230379635,171.71044247901813,170.4880479411835,31.092581848252166,30.309239596733228,28.467635647999955,26.88824593038905
2020-02-04 19:28:31.000,154.43516617008737,152.29869219427158,155.3304584814296,162.9861697666557,163.58220069846269,167.63590275171296,164.100707714636,162.66853221235203,159.73842831023492,161.20944674173012,156.62527178488037,154.9911737165965,153.35866578730975,154.06841634851662,150.45632412144815,154.88250502117234,22.58999038032342,23.79162151323817,22.184079871774127,22.08566372619801
2020-02-04 20:47:54.000,164.26741696693,157.27855780644302,159.5020283428554,168.61030169638184,167.89596509206865,171.04448663467628,167.3752897481384,166.79535812945724,163.78641983234837,164.09295958225724,161.32293853655625,159.7409723190073,157.01355146776382,157.85714213654506,151.9213339206941,144.43972769833803,,,,
2020-02-09 20:45:25.000,157.50743990108353,153.84704814030025,156.48576830335523,163.80549605150642,166.49427977519582,167.9134255871254,163.94416386126474,163.9093387492379,161.77210486381054,163.51096664919868,158.91026624206464,157.2140810862513,157.57178704307196,158.55564354679595,158.7229582037976,160.24726272078877,26.54147259176028,26.439800029309417,24.459002209800545,26.075250587053024
2020-02-10 19:27:28.000,,,184.869501252286,180.1569249546428,181.18085563500205,185.36428871763675,187.20445833817567,183.07905421966592,178.82839745700713,175.00858482627416,169.00138215898153,170.10505587281745,164.64889383493494,161.2394414185473,159.90475894946087,158.31823832385209,14.846986448960992,32.69485653528516,39.137798443663705,43.33891693458239
2020-02-11 20:46:42.000,163.1602798858376,157.2499093268524,158.5207153197887,168.08756893903322,170.85923688451967,170.71652981554527,170.23904785452785,170.04163085411707,164.83224889451864,167.79383690275995,167.63285747650903,164.15900163793603,161.73904135093,163.9719683625908,158.769889962245,159.28017748966204,25.610015298908387,26.701474710348144,24.770311500352005,22.965772862447537
2020-02-16 20:50:29.000,186.9186794124204,,183.397299856788,179.50103984820535,177.38794822598163,175.4675013994799,173.45275997354153,173.05727907230994,169.63016828827875,168.32643106008624,165.85226670089364,167.54988426809894,165.89205814275908,166.56274369503015,170.27846102100457,168.67946639903232,29.094318154784627,31.448006343944414,29.91577477842193,28.92469911990937
2020-02-23 20:45:47.000,159.72173583838563,156.28678140888854,159.3366696814022,164.09120250390367,169.56107036294637,170.69189716371218,166.55634322941793,166.2561595450824,165.39583426232508,163.5821177317298,160.5258939783768,157.83102812798964,150.8204089176389,,,,,,,
