dates,oahuoahu0044_0001,oahuoahu0044_0002,oahuoahu0044_0003,oahuoahu0044_0004,oahuoahu0044_0005,oahuoahu0044_0006,oahuoahu0044_0007
2020-10-24 18:43:31.000,141.2436627510866,133.9034020791019,134.02249077288522,136.06517800912167,137.5650234468757,141.8358849047202,137.8649912420924
2020-10-29 18:41:53.000,144.37342382836707,138.89874761673494,136.26471514242454,141.09700700062578,141.37151484230364,143.5397305346087,140.4660582569138
2020-10-30 20:46:46.000,143.5012037866837,144.84736824337676,144.59919550471483,138.69802117661794,137.8915197220728,139.98383919445456,137.19946060201542
2020-10-31 20:45:36.000,146.50190825819254,148.5623720310335,148.58841374602858,141.97538312446505,141.32720855544127,145.0224884734126,143.86252224575912
2020-11-01 20:22:42.310,143.4548916986294,145.64925872248824,143.33992006118254,139.98326680774622,139.31672668279586,144.6362230760318,141.1719598460681
2020-11-12 20:27:00.580,,,,,,,
2020-11-13 21:14:02.910,,,,126.2342933282543,131.57192427162786,141.41417006221312,140.61002972500526
2020-11-14 20:25:04.820,172.35931768538043,,,,,,
2020-11-14 20:25:07.040,175.76590432787495,,,,,,
2020-11-21 20:49:33.000,141.45579026323844,,140.4383445039901,143.4907635833926,143.41229388549277,147.37969511991085,145.23444627854494
2020-11-21 20:49:34.000,142.8854091880521,,140.43820307250917,143.51578970839006,143.38179067181903,147.24997923861076,145.57787880531188
2020-11-26 18:38:59.000,,,129.5937620219405,,,,
2020-12-01 18:35:52.100,,,,,,,
2020-12-01 20:44:41.000,142.5878676508875,145.7422911759222,141.27175352290203,139.25891879997,138.8122896432932,141.9605505247587,141.60840521550426
2020-12-02 20:59:29.560,136.82749429808055,141.4898669073647,141.5240133926355,141.10359514686343,141.60479019535455,141.56906206619257,142.1629104599962
2020-12-03 20:27:20.530,145.16324147846132,146.71217144297322,143.1956272465673,140.62970791277195,140.4612639928261,146.6981311591578,144.18225154969647
2020-12-06 20:24:06.630,145.30569132538383,143.27035926937,139.83383077143543,136.4708068567945,136.5281763846172,145.47863374334594,142.63395321033062
2020-12-06 20:49:06.000,145.24478316562795,146.9914878634589,142.18296038673495,139.28881709640697,140.36648319308432,145.7142916983513,143.13944578834182
