dates,oahuoahu0016_0001,oahuoahu0016_0002,oahuoahu0016_0003,oahuoahu0016_0004,oahuoahu0016_0005,oahuoahu0016_0006,oahuoahu0016_0007,oahuoahu0016_0008,oahuoahu0016_0009,oahuoahu0016_0010,oahuoahu0016_0011,oahuoahu0016_0012,oahuoahu0016_0013,oahuoahu0016_0014,oahuoahu0016_0015,oahuoahu0016_0016,oahuoahu0016_0017,oahuoahu0016_0018,oahuoahu0016_0019,oahuoahu0016_0020,oahuoahu0016_0021,oahuoahu0016_0022,oahuoahu0016_0023,oahuoahu0016_0024,oahuoahu0016_0025,oahuoahu0016_0026,oahuoahu0016_0027,oahuoahu0016_0028,oahuoahu0016_0029
2019-07-26 20:46:53.000,26.509959279345964,19.35590351917016,19.28908364619744,20.858261034103087,23.302224644588303,19.1099353966506,20.57426336555277,21.618645859105737,30.2488393031555,30.022883969146022,32.604440010554654,39.5240299814787,36.58381484747367,31.915636703752387,44.18143040638115,42.65148891135137,35.465894940057055,34.882540138343906,49.74217699310189,36.342927688907736,33.743814136752,37.5545629956944,35.9680807380768,27.931667391494685,29.183649887223435,30.309826234873096,27.62978548028264,20.790746539106983,19.215278769559752
2019-07-28 20:47:05.000,,,,,,,,,,,,,,,63.07649434163848,,,,,,,,,,,,,,
2019-07-30 20:46:27.000,34.15189927767264,25.443591970632184,24.593643634953427,25.53822318702008,28.45676067812768,25.100893405348867,25.18861530824161,24.82394844328176,34.25635050073237,35.54048975061624,37.297605194741074,42.638532256364414,39.56033576743005,36.20003834752645,46.51330952904954,50.19167957951234,46.875318220597855,42.80746839161222,58.149222319001865,38.51520875822431,35.923109175582624,36.85338948258794,39.13627085587673,32.62028201474446,26.783289532825307,,,,
2019-07-31 20:45:53.000,24.15952700412421,17.82133055018375,19.47068113733229,21.283899360049663,23.93359607732964,19.97438324230395,19.58805224011728,20.34728542287544,29.97801909373817,29.100385238816543,30.17567927315845,37.29476506025773,33.97519737127946,30.25054397012515,39.12852028535603,41.77859519753044,38.7188799350879,34.2931028982458,45.83381420935464,32.93590940594971,30.332062845378964,30.3745523991322,28.468149079335458,25.70243929319455,27.662858976276656,27.91285960230256,23.95113765575968,19.074865963778013,14.348638187963308
2019-08-01 20:47:17.000,24.04629358250888,17.42622355666778,17.87281406158615,20.82307683547882,22.80692690613965,18.31670388681001,19.149365639881065,20.372031525589545,29.14983310818185,28.787267312936148,28.09902063843316,36.230250918610274,34.97874059594196,31.15229009590433,40.94901599930007,42.23923634736795,37.94146368333912,34.139382286176875,50.08723689076606,34.11041232425631,30.28579258219947,28.77844140133952,31.86252882451556,27.673421103860303,29.122470629849385,29.04529985316987,25.03832189239209,20.52447490761008,12.118661964981772
2019-08-03 20:44:25.000,31.682346511169147,25.056856303162142,25.524425465479823,26.217603153015755,31.779319983002164,26.822073159657897,24.84870767509492,27.125299391346623,37.963440723777616,39.4426195091329,34.8681996697746,42.01976349868183,39.11121810669194,34.95718430551167,44.5283312738003,47.20616938530621,45.370085740598334,42.93090076628938,56.92696630713635,41.83522820817974,36.31723415061232,34.88206225748392,38.129551721655545,31.277613745692047,28.97158059369648,30.53042714671,26.87603185415506,21.396840246461867,18.055830167506407
2019-08-04 20:43:32.000,22.06684443345491,15.75121796486466,16.845320014419208,18.659071741125945,22.612347442805447,18.0003831131298,16.435871176911448,20.3924633731852,29.5337319054546,31.640263962896555,31.58703730700428,37.58970737393803,34.07108790477324,30.929609178914745,39.31758816424552,40.121030185027685,36.66689579061137,38.16032284799352,48.64292802127443,35.26842776729001,30.56347349723693,31.032339210295284,31.731142068653696,25.957605689032043,27.575190201027453,27.62177427460428,23.45584065393717,17.796928747658235,14.98022470774515
2019-08-04 20:43:33.000,22.883982458081075,15.14132079252487,16.57486428822564,18.14395731894946,23.389653921689423,17.120094470272544,16.323119551680122,20.02796894474252,30.01318449880933,30.75203415087704,30.75708786042859,35.61007700144852,34.49505461548287,30.48749989237997,39.9480277579821,39.5311926189545,37.17196236287587,37.05908851061103,48.825168260851314,33.393574649771466,28.86527426326869,28.869526471052268,30.229682165758216,25.6815722006937,26.93445998077072,27.45406366449652,23.95442249468105,18.2299482274244,12.844429542917403
2019-08-06 20:44:54.000,24.343619788921607,17.960789065405702,20.02462986363138,20.290305318580742,24.13086086258639,19.592207440181337,18.512221525861293,19.006433925701767,30.76251320322364,33.72026537448414,32.84840358841324,39.33303192426024,34.19919080949268,28.852087741466843,38.29895371858106,42.53772164422427,40.368188172722434,36.926334045677145,49.98953754975306,34.56019364465099,30.262334432203293,28.52896332942506,30.678455313563035,26.751848387511338,28.57010031958277,27.9557282611458,22.825561070837125,18.463870974215308,15.31893753935665
2019-08-06 20:44:55.000,26.076465025547044,19.706259570717663,20.601322056089444,21.696727912337465,26.091295071188576,20.660743131122764,19.35414953293409,21.449300028964743,31.45132276746952,33.95822358457639,34.54021422188372,39.27089053272528,32.872410753271375,28.50524357063092,39.99734676093642,41.75558281900777,40.37578994081689,37.983838985046525,51.54426848279029,34.40840907873514,29.238061415513023,30.159501262195548,31.25349279159239,26.22686673183935,30.218864022190168,29.325804815985112,23.464707569373857,18.10004013141417,14.27439496594254
