dates,oahuoahu0068_0001,oahuoahu0068_0002,oahuoahu0068_0003,oahuoahu0068_0004,oahuoahu0068_0005,oahuoahu0068_0006,oahuoahu0068_0007,oahuoahu0068_0008,oahuoahu0068_0009
2017-07-13 20:18:59.000,21.991087167101924,16.925612374570715,15.744838476303954,24.18298640100164,25.699540333774625,26.10167375378192,28.417894237918265,29.909331202528016,35.4119623182714
2017-07-21 20:20:51.000,23.35994908586824,20.34301321329691,18.8863215125227,28.82105595823062,29.796102930975227,28.50523871613237,29.76308403261065,32.67307669921649,43.94507767076315
2017-07-25 20:24:31.000,24.733380103823187,19.415536113153628,18.123706692940623,27.08209889808532,28.09387814635266,28.713220827874384,30.243841865938908,33.16996699798349,49.39404616852299
2017-07-26 20:19:17.000,21.774456514495945,18.406178810919243,17.51549101028898,25.06132338764589,28.11798774714516,26.986231526910007,28.242101988245768,31.15209465485161,42.42409562639826
2017-07-26 20:19:57.000,22.75884430523248,18.462852036116026,17.171465070567372,25.062667978078046,28.60236284559757,28.14280793226144,29.302161330703942,31.153439245283764,42.42544021683042
2017-07-27 03:14:01.000,18.82575207652339,15.374286277160936,13.682618923935651,21.556632999689047,23.05329447502397,24.24911443067243,24.794518499263344,26.91976553894334,26.0890662375424
2017-08-02 01:37:44.000,25.58993819552724,,,,,,,,
2017-08-02 20:22:18.000,23.47782255857765,16.789027911314584,14.561364784779952,27.279753462974487,27.954321019052603,,30.59217793793082,28.917703268359045,
2017-08-07 20:21:24.000,28.526328626204563,22.17357318240285,19.837428714838545,27.76265934249045,30.89315752407705,32.02503427291738,31.88247834809268,36.13666095046233,50.921903743969615
2017-08-08 20:19:06.000,21.9909001302444,17.93130717890932,16.194999055916995,25.20139196766926,26.29997824953758,27.9371781719125,28.38217056826914,31.292163234874977,34.52622614348657
2017-08-08 20:20:39.000,18.88297831696322,14.965835042317838,14.780361499861694,22.9789722147794,25.734442329764484,26.12348407185761,26.43318951928836,29.08507740404316,40.04700813342375
2017-08-08 20:24:54.000,19.91819192948106,16.491812612220414,16.40521035336684,23.02450600631093,25.859333103162413,25.04419189763335,26.224320239863857,29.11818044134344,35.438103213690546
2017-08-09 20:21:37.000,23.872253176786543,18.689453821012243,17.653138250197244,25.099392851557194,27.89693407574504,27.60130692360252,28.28017145215708,32.692974623800644,42.50263608075393
2017-08-12 21:43:29.000,22.7975866676524,16.606302073655794,15.521103271546684,23.809983357299245,26.97768775979885,26.64068850936081,27.009797590852173,28.783350751607475,29.52253237141198
