dates,oahuoahu0002_0001,oahuoahu0002_0002,oahuoahu0002_0003,oahuoahu0002_0004,oahuoahu0002_0005,oahuoahu0002_0006,oahuoahu0002_0007,oahuoahu0002_0008,oahuoahu0002_0009,oahuoahu0002_0010,oahuoahu0002_0011,oahuoahu0002_0012,oahuoahu0002_0013,oahuoahu0002_0014
2017-05-31 01:54:03.100,32.90881219474211,16.61613128612391,14.509024649521647,16.70573457770918,18.36118500977344,20.27739656034288,18.096290801424864,17.087137653398926,15.15327683927768,21.456844913521824,20.88969338791588,22.31217843443844,23.15660715880661,25.609572275381144
2017-05-31 01:54:04.000,,,,,,,,19.21016056324177,17.199044325527478,21.457005205133434,23.02284534017838,22.312338726050047,23.156767450418226,25.717486706044458
2017-05-31 02:55:44.000,34.97798541821664,15.137764191608753,14.91277584166023,16.759101286925144,19.30520581928,16.49590985293404,14.838820025328644,17.645739454334695,17.845231947009893,22.015446714457592,19.95547863491906,20.71299892317285,23.715208959742384,24.996629571168064
2017-06-05 00:02:24.000,,,,,,,,,,17.574920152853203,12.80127058910527,16.224264330070007,12.40220028465692,19.18975394264279
2017-06-06 00:34:42.000,45.973354080949285,21.42359142083596,17.38335833800721,17.48342057997284,16.3072157098367,18.884197948366992,19.10888565028825,24.19225839899467,24.57312675569033,26.43742984143551,28.020813575377066,25.206492637278384,26.407878330985984,28.760467144155665
2017-07-13 20:20:23.000,37.75751689568971,13.33426544050199,12.691152388017866,14.447421444598548,12.664333077419773,13.40121864240864,12.595231649517654,13.422855001307957,15.381011772412084,15.39492061509078,19.12402820203868,22.652087484872578,25.84007266130359,23.546192705873448
2017-07-15 16:55:46.000,,-8.520896859053668,-7.941190754470841,,-14.265415729098288,-3.676463964733954,-11.49401061085163,-14.121311649141091,-0.301403184576123,-2.5482787495630275,0.7703700576375504,0.2111472166998788,-2.123968639479588,3.230998354811132
2017-07-23 20:21:45.000,31.507097656337297,11.023672076628769,6.292809824266577,7.697637931450888,4.91258161239875,9.595190204597785,10.250253538070377,11.0385999840006,9.02967068047436,15.409980443579602,19.08688095490092,22.6671473133614,25.85513248979241,24.29839077463105
2017-07-27 02:54:30.100,35.69532775306136,13.917424031270768,13.647167987790088,13.940114328071676,13.625950134850108,14.33053453518841,15.39194345927186,16.240219171027306,18.395097022466533,18.48873701237505,20.032645862955004,22.260711622550183,24.43255129458711,24.11564165182948
2017-07-29 20:21:41.000,,,,,,,,,,,,,,
2017-07-29 20:21:42.000,,,38.20254802886427,,,,,,42.47088403045446,14.788212956189216,20.214060575541627,30.044087193707924,43.53008458639446,
2017-07-30 20:19:52.000,39.546753854954446,19.493275386027005,16.618190144866137,15.241268495131562,18.696146920852566,16.030953228153276,16.21554073902244,21.30422758762236,18.95783581152975,21.42820961128277,22.99404974632772,22.283543132199387,25.73662515069985,28.492065863803614
2017-08-04 20:26:55.000,35.95197811673756,13.906057195397224,10.061219087360069,12.274015239677237,12.452372064905978,12.44513570823387,13.901682419724311,12.669208449510556,14.904546426354765,17.040588909089557,18.584497759669503,21.61656198932038,22.98440319130161,24.178914999990543
2017-08-05 20:22:17.000,40.27591110966872,22.01555852179942,11.193615210134304,21.17194707687906,13.716881189009516,13.242225983957455,13.47044613899757,14.634642656267918,12.308640685719052,14.444790790262363,18.110725659348144,21.666202366612072,22.027560040410016,21.84064336731429
2017-08-09 20:23:12.000,28.12253307348477,6.828430961520223,5.439301683498162,5.965167684100038,4.007139029077102,6.287887120924161,6.2587507021757,6.649418229567193,6.764080522450659,9.731868112441402,13.082620518071751,16.050346859654855,16.70900044446697,19.14003181626573
2017-08-12 20:21:59.000,,,-11.79904589319804,-12.008544116763474,-13.563814010376282,-12.10930706334309,-11.855933944159808,,15.424644486843354,,,,,
2017-08-22 17:21:42.000,,,,,,-10.124942607019396,-5.8230660978567865,,-8.909358552412295,,,,,
