dates,oahu0011_0001,oahu0011_0002,oahu0011_0003,oahu0011_0004,oahu0011_0005,oahu0011_0006,satname
2000-12-19 20:50:39+00:00,42.40732383913368,50.690812669504666,40.07051219951736,37.34104226736093,33.71714918537906,26.062727737259543,L7
2000-12-28 20:44:30+00:00,43.20881450512624,51.19598981997381,42.90281887483905,43.15025011067455,28.87487175320093,25.6654501923671,L7
2001-01-13 20:44:32+00:00,,,,,,,L7
2001-01-29 20:44:33+00:00,,37.272270592252845,30.81490494711192,31.043089166937364,20.01071966471938,13.817356430736142,L7
2001-02-05 20:50:39+00:00,46.34482067725735,52.86335021637759,41.17528070316617,37.76856404433389,29.70596787226912,22.358782368359048,L7
2001-02-14 20:44:29+00:00,,,,,,,L7
2001-03-02 20:44:23+00:00,51.96229343881917,56.91298492802566,49.87786854380136,46.99467332992346,43.65741036885834,,L7
2001-03-09 20:50:34+00:00,,55.966985103395146,47.41124160768855,45.50204056002661,34.37039625959771,31.103114498107225,L7
2001-03-18 20:44:17+00:00,,65.19543055834261,49.11559827866876,47.00490053927759,40.02478387914989,30.14562719782265,L7
2001-04-03 20:44:06+00:00,,59.51666184025782,49.52984247861672,,,,L7
2001-04-10 20:50:20+00:00,51.8109562824563,55.6421011464368,43.52041515191911,42.18347810654807,37.68868734304135,36.32472711737004,L7
2001-04-19 20:44:10+00:00,65.7900334300683,66.55101981051472,53.76606254811362,49.96012566556437,40.46641007700414,36.5698856480257,L7
2001-05-21 20:43:54+00:00,71.94697507803951,75.99418384102685,60.21454443906462,54.51432419619047,50.53493199391567,47.419482242542806,L7
2001-05-28 20:50:01+00:00,44.12470361301673,46.94684516226952,35.58998249535553,36.59039947813108,34.90788318582729,34.415547339210285,L7
2001-06-13 20:49:50+00:00,49.3562147819843,53.74503487883119,40.39539894997451,35.05251253167382,30.59039336145165,28.874184947896573,L7
2001-07-15 20:49:35+00:00,51.675591616822445,53.93500176208499,41.18677363660258,41.79632365260645,40.53012412110469,39.660933407364816,L7
2001-07-24 20:43:19+00:00,71.63698711171138,75.37487641965757,63.89572272998661,60.60626139825054,57.88677538616954,54.72836289179697,L7
2001-09-01 20:48:54+00:00,57.726485287064186,60.70915760091783,48.27425637443329,46.47300830229311,40.88588066313436,37.26479163573852,L7
2001-09-17 20:48:42+00:00,,51.87066996149351,42.33160037519361,41.49804961863384,41.68470561868599,34.63300501090904,L7
2001-11-20 20:48:45+00:00,42.40866221957489,49.46752259407929,38.49966929726788,36.528017140797175,30.610137100512063,28.401791982784125,L7
2001-11-29 20:42:36+00:00,56.55420698879757,61.33632225915163,49.10956304340976,42.71040355518734,34.64894408445895,31.63320181619904,L7
2001-12-22 20:48:56+00:00,,55.72454741224091,44.83736265970963,44.45052351929418,35.06780695012701,29.66291254796759,L7
2001-12-31 20:42:36+00:00,36.31051920018759,45.577519239734166,30.79333450389264,31.651963446402444,28.040332910278924,26.64649586104565,L7
2002-01-07 20:48:58+00:00,,28.936723284239303,19.91125199356517,21.633120080380763,18.96844825050468,21.81311035770082,L7
2002-01-16 20:42:50+00:00,,,,,,,L7
2002-01-23 20:49:06+00:00,52.28134263938778,56.872373098604434,45.137195980653146,38.94160927931574,27.319717100745965,24.47727157713358,L7
2002-02-01 20:42:53+00:00,,50.84737396953792,37.28958157032755,34.96603861762435,25.724933091648555,23.77139127611133,L7
2002-03-05 20:42:58+00:00,57.2298590685153,61.32390714577002,47.40259389630936,42.525039551565946,30.141602665131035,28.64954154783023,L7
2002-03-12 20:49:08+00:00,,53.57836315626531,41.84338288191365,38.37926208959865,30.23947823458428,30.147690596644388,L7
2002-05-24 20:42:43+00:00,63.30935648798995,67.4355622641673,54.41334222123644,53.68932912091864,52.33324362776926,49.55217971683021,L7
2002-06-25 20:42:29+00:00,48.50694720919871,53.21211375374641,41.53569434524116,38.639024606652605,35.85302720275203,33.36624240893989,L7
2002-07-27 20:42:18+00:00,54.11693914322894,57.556816230462665,44.33640529238214,42.45600262723445,38.66016185454972,39.35844400239442,L7
2002-09-20 20:48:01+00:00,70.613509996471,74.36154736299088,61.08722750414227,55.91219027038658,51.51837538522639,47.30849374169215,L7
2002-10-06 20:47:56+00:00,,59.2639095170387,48.267759668853486,46.80820384581102,31.90929194926778,,L7
2002-10-22 20:48:02+00:00,56.1242048102717,61.1248005649296,50.52095342830639,50.64041293202838,39.09073274438519,30.98323155377855,L7
2002-10-31 20:41:52+00:00,36.89889833209328,45.63584232115573,36.79951787885983,35.2059203732067,30.518852644099443,23.60389298688004,L7
2002-12-25 20:48:35+00:00,,52.01046590653012,39.55454567822668,37.56915211750374,30.50486919263109,22.036097833427,L7
2003-01-03 20:42:23+00:00,50.960285862928245,58.87392285790448,46.14477968972801,37.32995193031335,,23.11676816111386,L7
2003-01-10 20:48:36+00:00,,,11.41791639334455,12.283121522967573,13.712886312171973,16.638026169994387,L7
2003-01-26 20:48:44+00:00,,,14.118191212350132,17.587384313915372,17.550736372126867,18.450864476666084,L7
2003-02-27 20:48:54+00:00,49.05683282620996,53.617386851838376,42.9478877739947,41.05130146402615,35.386807459528,28.853576341132065,L7
2003-03-15 20:48:58+00:00,48.07712826717722,52.87317662744337,40.01247953554886,37.57800780551751,31.310390023928456,30.21387351262888,L7
2003-03-24 20:42:41+00:00,53.84641676243354,57.78892404867442,45.20970453765422,43.86149740055808,37.73498506207287,31.81003966310045,L7
2003-03-31 20:48:57+00:00,50.25796714200519,55.80785117158265,40.67362618017066,,,,L7
2003-05-02 20:49:00+00:00,44.96772349087202,51.44460455348553,39.708803582244194,37.020037918912905,31.967383733259023,22.889682637591186,L7
2003-05-11 20:42:47+00:00,54.63762468248706,63.24442218499166,47.37773466216173,45.938022518529245,44.26314527971108,42.18956533731812,L7
2003-05-18 20:48:55+00:00,53.46799437480248,56.4096673188519,43.6504331388592,39.19972900031887,38.88764930908236,38.332630176190655,L7
2003-05-27 20:42:45+00:00,52.52821510303972,54.7953360529067,40.3655048867219,38.2803185763371,30.25016717432774,24.467242744622943,L7
2003-08-06 20:48:37+00:00,,66.8310938943163,51.53071184619319,43.52017586960878,41.270431810070704,42.37776169301216,L7
2003-08-31 20:42:24+00:00,,,53.45792499439706,53.379441029377546,50.69346243536543,48.40861473524252,L7
2003-10-02 20:42:13+00:00,53.89232593989114,56.44981404860583,44.19093966721898,40.35207796291264,28.199087999662986,23.61148836128361,L7
2003-11-03 20:42:27+00:00,62.00766683327047,64.6634124194008,,,,,L7
2003-12-05 20:42:45+00:00,,,,,,,L7
2004-01-06 20:42:58+00:00,43.73269858138442,51.15477803897063,46.869230301238936,45.44792876812033,38.95980119514793,32.50658590649258,L7
2004-01-13 20:49:09+00:00,,,,,22.267766319378417,20.011701787280245,L7
2004-01-29 20:49:18+00:00,,,,,,,L7
2004-02-14 20:49:21+00:00,,,,,,,L7
2004-02-23 20:43:09+00:00,,,50.40001453182324,42.45526062991364,,26.2358926419479,L7
2004-03-01 20:49:23+00:00,,30.98342715921508,31.429607852068195,,,,L7
2004-03-10 20:43:17+00:00,,,,,,,L7
2004-04-11 20:43:15+00:00,,70.25636272147115,54.56547218301476,46.57516385476466,40.47215744817935,35.91495421708121,L7
2004-04-27 20:43:12+00:00,37.30268462425127,44.61438556020343,36.577043474876426,36.18323148732888,34.52688213593072,33.33998952032817,L7
2004-05-04 20:49:25+00:00,,,,,,,L7
2004-05-13 20:43:15+00:00,,,,,52.88787526559823,49.265939413806265,L7
2004-05-29 20:43:12+00:00,,,,,,,L7
2004-06-14 20:43:05+00:00,,,,,,,L7
2004-07-07 20:49:14+00:00,,53.71737551052901,41.09753446081727,38.449131895567305,29.207104591493565,27.5480109244567,L7
2004-07-16 20:43:01+00:00,,,,,41.126229529715445,38.58078286981015,L7
2004-07-23 20:49:09+00:00,54.9457827046203,62.61625061123016,49.848617452132416,49.79980063561487,48.49927425979181,44.29214744393818,L7
2004-08-08 20:49:02+00:00,,,,,,,L7
2004-08-17 20:42:51+00:00,,,,,,,L7
2004-09-02 20:42:47+00:00,66.23197586726168,69.77989607695022,56.5883652549658,54.77321529446847,42.78294918214981,43.31686616859446,L7
2004-09-18 20:42:41+00:00,,,,,43.37972237933268,42.96457372325953,L7
2004-10-20 20:42:46+00:00,,65.67667777252932,49.19729544390134,48.72067909944909,45.46121668947923,42.722131099029085,L7
2004-11-12 20:49:10+00:00,38.60185075137823,45.775770222290255,32.01230459811709,30.074569929930103,23.8703904919868,19.02814967601302,L7
2004-11-21 20:43:04+00:00,35.09237919147961,41.49236637838677,27.96287040026225,25.94299321986194,21.371560207966223,17.939619402984714,L7
2004-12-14 20:49:25+00:00,,,,,,,L7
2005-01-08 20:43:27+00:00,40.484051584988535,46.15233842106439,33.6909428033008,33.59183963950361,23.785955901196147,19.164890929544143,L7
2005-03-04 20:49:56+00:00,,,,,,,L7
2005-03-20 20:49:56+00:00,,55.4912832447565,41.90057912608175,36.69860266056731,34.843966697545305,,L7
2005-04-21 20:49:46+00:00,,39.90443330343225,33.74306764833588,33.599965012578274,25.836067575389595,20.47973851239972,L7
2005-04-30 20:43:38+00:00,,,,,,,L7
