dates,oahu0079_0001,oahu0079_0002,oahu0079_0003,oahu0079_0004,oahu0079_0005,oahu0079_0006,oahu0079_0007,oahu0079_0008,oahu0079_0009,oahu0079_0010,satname
2016-05-11 21:09:36+00:00,13.498154868832083,13.061490787204008,6.381891902198526,7.075979394105339,7.483263551364194,6.210547422951439,8.932109765553408,4.866674911814149,1.9641421046244432,6.325752416675877,S2
2016-05-21 21:09:36+00:00,,,,,,5.389912214860105,5.934111524916059,1.8018977059360164,1.9670760397884124,7.272711494640114,S2
2016-05-22 20:53:40+00:00,-5.281810540521006,-9.395628001549474,-13.714287341270738,-14.727552040726694,-14.304511687775374,-12.177963976470448,-7.3887047494398495,-8.155950094412926,-6.310670848276216,-2.068440790532501,L8
2016-05-24 21:19:24+00:00,,,-14.352822980540534,-14.600828483963078,-11.80440648750409,-11.982865172614511,-7.202542405454642,-6.693223106451262,-3.5085978149113712,6.628378378044023,S2
2016-06-07 20:53:44+00:00,2.039036252647169,-4.647545737270573,-6.923424256842697,-8.385367066795848,-9.01455713547458,-11.236121324657656,-6.195442255359877,-6.955502306490308,-2.1437876621399368,-1.7266638947766375,L8
2016-06-13 21:19:22+00:00,-1.784983942545329,-1.8930196790070712,-6.418828888260371,-4.499549294200631,-4.065110313737127,-4.5384976965785855,0.3501291932898004,0.5579399174807131,4.322289617959672,10.977590353260366,S2
2016-06-15 20:56:36+00:00,-6.166679852390932,-15.206571348406548,-18.15887261601832,-14.958838047568085,-10.002349927900411,-5.8976295272794825,,,,,L7
2016-06-20 21:09:31+00:00,,,,,,,,,,,S2
2016-06-22 21:02:48+00:00,,,,,,,,,-17.481854217742068,-9.418066331088358,L7
2016-06-23 21:19:19+00:00,-1.9577011803900424,-5.564393025997692,-9.699657407063278,-8.537533640724451,-7.072876453151742,-8.024181696360241,-3.4987535558008096,-3.600103535414626,-0.2721748815584479,2.917150197337014,S2
2016-06-30 21:09:32+00:00,-8.90594573897899,-12.078365183253888,-16.10371115640063,-15.022074585203574,-14.09055498414224,-15.239813913392476,-10.52429657155323,-11.957266387132732,-9.26949005276342,-3.907363536756511,S2
2016-07-01 20:56:37+00:00,,,,,,,,,,,L7
2016-07-10 21:09:33+00:00,2.040529138365982,-1.0225404560442082,-4.573396686908344,-4.183933043752373,-2.872995295150348,-1.184990194190158,1.7924809158320802,1.9280023409887008,4.091523149538635,5.396486645469647,S2
2016-07-16 21:00:12+00:00,,,,13.229003154062676,,,,,,,L8
2016-07-25 20:54:03+00:00,1.4403911949064874,-8.618714065021045,-12.735512894411627,-13.209200183824812,-9.687910174249495,-8.933044505037486,-4.960735805947639,-5.353728022869944,-7.509555344038728,-1.1240621877144157,L8
2016-07-30 21:09:34+00:00,5.915652487126556,2.397797749982825,-1.7822847649870464,-1.8211931655340088,-2.598844831047703,-0.4958993696671396,3.2873373830741257,4.403550123838405,6.017190256555665,5.077374359896375,S2
2016-08-02 21:19:24+00:00,-1.3613259531006063,-5.924347641891028,-10.016680741102997,-10.550501456665572,-11.13238706582517,-10.76533262651477,-6.298319715389613,-7.217495296015231,-5.216117283962972,1.5401134795260711,S2
2016-08-10 20:54:05+00:00,-5.149465843318925,-10.297313985834096,-14.22450848095649,-15.405119484359656,-14.653553701457597,-12.88386739998711,-8.446757118778159,-12.142711948166689,-11.356881831156027,-3.6623745554846514,L8
2016-08-17 21:00:19+00:00,-12.704347631598791,-16.252386491506723,-21.49468041238436,-20.06371669240648,-18.747293377266114,-16.907456029796503,-13.98203298591014,-15.71428786754803,-13.738091947084705,-8.183453472685871,L8
2016-08-18 20:56:41+00:00,-8.674786331477646,-16.424856059474386,-23.47464342780949,-21.140281818021965,-16.257764660383717,-10.813726362114156,-6.707586518507027,-7.67762506883235,-4.815396295197875,1.4671245435643558,L7
2016-08-19 21:09:29+00:00,13.308735372786872,11.337882953457605,6.809026902959861,7.760166813027325,10.65300271315356,10.91742727594726,14.287550021095146,11.692205022905632,15.03791534122722,22.6175470477361,S2
2016-08-25 21:02:54+00:00,-2.500791189187237,-13.834571250639405,-19.400245729418803,-24.2135434310174,-24.191940046642216,-24.141393275893908,-19.44835312312108,-20.439103487890414,-20.460344360222933,-13.37857869280152,L7
2016-08-26 20:54:13+00:00,-4.36088101083455,-12.036117788700716,-16.597756469496137,-17.362704406114315,-16.24721044877164,-14.694279145690356,-10.596763076096847,-12.318203262972046,-10.287879832213273,-3.628733061973213,L8
2016-08-29 21:09:32+00:00,2.84156213938652,-2.925364411810521,-6.091082369884544,-5.413571091235394,-2.5534768137574657,-1.1384123813344869,2.475484658623266,1.6133120008534234,3.933557612877443,8.111389676003249,S2
2016-09-01 21:19:19+00:00,14.7436372783618,6.965411565547007,2.438975457189391,3.191488933926656,4.196779397194074,5.684992031354279,10.140329773124495,9.863221967139856,12.720528166138012,18.209878438312018,S2
2016-09-02 21:00:26+00:00,-11.250052904853234,-15.686414814570623,-20.74758000678552,-19.53184246296423,-18.17618196208339,-16.278987575277526,-11.959946122793244,-12.758529555809291,-12.729575670500068,-2.911368319294869,L8
2016-09-11 21:19:16+00:00,9.280901026021851,2.844898819737981,-2.699433838059008,-1.275655616446939,0.7173358094131392,2.157400174863681,7.494706266928621,7.633929290658706,11.396116748832728,18.43000022529104,S2
2016-09-18 21:00:28+00:00,-7.90427657162294,-14.60505989798826,-17.906318508821602,-18.964060583093723,-17.833169682115756,-15.491643560794062,-11.651691333509142,-13.24444410139551,-14.33100032896391,-6.65417011105233,L8
2016-09-18 21:09:25+00:00,9.537679508016184,9.624038946213757,3.884894740016809,4.107867346789811,4.939022191874295,6.11771346806857,10.547616148499264,10.271351736351336,10.603533144224022,16.348244547891632,S2
2016-09-21 21:19:13+00:00,-7.775337232119109,-11.196808662263184,-15.717788321221276,-14.854211348119312,-13.930492394374635,-13.575622375764572,-8.969335309730935,-9.835326921391117,-6.983239617646344,-1.3742211548058505,S2
2016-09-26 21:02:59+00:00,,,,,,,,,,,L7
2016-09-27 20:54:17+00:00,-2.811891429986727,-7.04831683075741,-12.581089712055345,-12.599844078861386,-11.41252573499248,-11.48783700423574,-6.427503386472696,-7.460696513452092,-3.364058782491252,-2.020143858184279,L8
2016-10-05 20:56:49+00:00,,-4.106704318306294,-13.498461326002204,-14.200043249575474,-15.23035892080504,-13.078610266490603,-10.374046692944,-11.07781512259703,-7.968668004724171,-1.07454811298515,L7
2016-10-11 21:19:12+00:00,-6.937132623670876,-13.32097288457398,-17.25563309945642,-16.887968857458528,-15.705190190270178,-15.04106420679537,-10.461893301468631,-11.550256094533994,-9.19826440505162,-1.1348942731364575,S2
2016-10-12 21:02:59+00:00,,,,,,,,,,,L7
2016-10-18 21:09:20+00:00,-0.3192528964978417,-3.244761862369057,-6.7261126066840085,-6.180507297697044,-4.381932758220341,-1.9349086881298887,0.6020632467743311,-0.0390467232749199,1.827225935294226,3.338250807458526,S2
2016-10-20 21:00:35+00:00,-5.537880018746985,-12.328159371294785,-16.426272678028315,-16.488360560461825,-14.798990736795988,-13.981346654446307,-10.176030947715528,-12.957604715368904,-11.937480097459076,-4.8620643427358905,L8
2016-10-21 20:56:47+00:00,-11.495799253660886,-15.36819969581136,-24.82981774841893,-27.04740502901853,-28.447709144869307,-27.461619856219727,-22.079832537577577,-17.591073689242446,-11.862964059674171,-0.7173883915306429,L7
2016-10-21 21:19:02+00:00,7.458176111692447,1.044954846683463,-3.502239581465409,-2.5286660167643573,0.0686025970265791,0.9012504263772996,6.055621127631119,5.930466619731938,8.912682448412102,14.49432227926042,S2
2016-10-28 21:02:55+00:00,-9.392799547926453,-10.880688080440049,,,,,,,,,L7
2016-10-31 21:19:14+00:00,0.7354633528493817,-2.379739860727313,-6.404649444840945,-5.910902909473696,-5.140855063067415,-3.890032078101148,0.7524266872995167,0.5477777251033615,3.737327282945114,7.121163281941127,S2
2016-11-10 21:19:14+00:00,5.633790788587207,2.038671966756892,-3.5341555667859224,-3.013637426469291,-0.0260583719247495,-0.307286235906179,2.693691573305385,3.326731881950356,5.898238875055126,9.724357936393638,S2
2016-11-14 20:54:23+00:00,4.219046888714782,-1.32260042703314,-5.321927020561224,-1.1768080619937875,3.2502548692506665,5.30840741821631,8.283938956535401,7.719598165273933,2.37010823558264,9.06039850430791,L8
2016-11-30 21:19:14+00:00,0.1479740109677264,-2.546144934104144,-6.628483775320469,-6.956012985611226,-5.5994098128190375,-3.99706663735347,0.2321798299735403,-0.1089764509661702,1.2688595748865723,7.724013397758967,S2
2016-12-16 20:54:19+00:00,3.12263696687291,0.5470706575191271,-3.829647705566404,-2.1824837047566272,2.176933354516776,4.5867143238976045,8.772897477379509,8.651313502659022,1.2465479514546804,9.398093249789362,L8
2016-12-17 21:09:18+00:00,,,,,,4.213416608215177,5.151140754978647,4.094273576203055,3.357567033638484,3.827216500028042,S2
2016-12-20 21:19:10+00:00,,,,,,,,,,,S2
2016-12-31 21:02:33+00:00,1.076701516940456,7.555568071384344,4.621983403399469,5.620629476266866,9.157348524440698,8.535622601617776,12.141676604535936,9.951134816688324,12.467332957940457,14.085148317930091,L7
2017-01-01 20:54:16+00:00,4.082445515609344,0.7385627225327615,-2.3182818404839027,0.1030255435293633,4.277604122862409,6.1641230943222,9.99206512589208,9.645818466547436,1.0934124861039538,8.149458332287127,L8
2017-01-06 21:09:13+00:00,8.59964051642188,9.33626275437786,6.851132671900603,8.822617143751891,10.907238835374065,11.045078977070162,16.223674122854895,15.69023952813177,19.76246728207293,21.418127871222303,S2
2017-01-17 20:54:12+00:00,-9.021077285889149,-11.017050337554087,-15.03897077089011,-15.699431807233733,-12.401645646142416,-11.701582014818571,-6.122927900905983,-7.7432511085718385,-13.112125015817824,-5.832536791874857,L8
2017-01-19 21:19:05+00:00,-6.606732186901907,-8.890768537824485,-12.873919046468,-10.718827451211062,-8.468758845619588,,,,,,S2
2017-01-25 20:56:05+00:00,18.172751648053552,,,,,,,,,,L7
2017-01-26 21:09:16+00:00,-0.955718038372573,-0.1567404779649434,-2.372094513645434,-1.397841242926228,0.1886394486384712,-3.759333766106897,-7.630031408148696,-10.755462293185314,-13.927744686362011,-8.848285323119628,S2
2017-01-29 21:19:09+00:00,5.774388764676908,2.025177446341333,-2.841585324113738,-3.010915266462847,-2.067279599168316,0.8878845126644368,5.238385229733432,4.660896743292911,7.777999781160624,5.427745794152689,S2
2017-02-05 21:09:17+00:00,7.990386370660871,8.068953845811889,2.382277425595968,2.0136641583139907,2.859258476726105,2.0427406821555967,5.151249533343716,2.57364427736117,-0.6516366657139158,6.04464694667075,S2
2017-02-09 21:00:12+00:00,3.1289322462582927,3.518946773712475,1.0532876204232444,1.5632562617949786,4.521114005850985,6.1632187961924325,9.529332861314389,9.469438076185623,3.4357796046455364,9.075143918602947,L8
