dates,oahu0104_0001,oahu0104_0002,satname
2009-12-12 20:51:11+00:00,54.0835643168933,55.016434156790936,L7
2009-12-28 20:51:28+00:00,51.09800161375875,56.651340331818496,L7
2010-01-13 20:51:44+00:00,49.78434736085238,53.16832412175245,L7
2010-01-22 20:45:41+00:00,,,L7
2010-01-29 20:51:57+00:00,,,L7
2010-02-07 20:45:53+00:00,,,L7
2010-02-14 20:52:09+00:00,,,L7
2010-02-23 20:46:03+00:00,,,L7
2010-03-18 20:52:23+00:00,,,L7
2010-03-27 20:46:15+00:00,,,L7
2010-05-05 20:52:24+00:00,,,L7
2010-06-22 20:52:24+00:00,,,L7
2010-07-24 20:52:28+00:00,,43.32819568631884,L7
2010-11-29 20:53:08+00:00,,,L7
2010-12-15 20:53:16+00:00,51.6118631517443,53.1001174551516,L7
2010-12-31 20:53:24+00:00,,,L7
2011-02-01 20:53:38+00:00,59.08291106767371,59.20961542101218,L7
2011-02-17 20:53:41+00:00,50.31728120376688,51.58826485300156,L7
2011-06-09 20:53:50+00:00,27.87611546867786,24.562172022025862,L7
2011-08-12 20:53:39+00:00,37.727053036308426,38.38377347264488,L7
2011-11-16 20:53:49+00:00,50.759253226773005,54.131102515837824,L7
2011-12-02 20:53:59+00:00,51.95421773102361,,L7
2011-12-18 20:54:06+00:00,,,L7
2012-01-03 20:54:15+00:00,51.23845917837676,55.69432082286676,L7
2012-01-19 20:54:15+00:00,,,L7
2012-02-04 20:54:19+00:00,,,L7
2012-02-20 20:54:23+00:00,,,L7
2012-03-07 20:54:19+00:00,53.39857483227755,51.95817108731841,L7
2012-03-23 20:54:22+00:00,53.93248900355093,51.71530748718544,L7
2012-05-03 20:48:34+00:00,,,L7
2012-05-26 20:54:47+00:00,44.4010686039486,42.98214803363705,L7
2012-06-27 20:54:45+00:00,,,L7
2012-08-14 20:55:22+00:00,51.12403448703403,52.43137882123704,L7
2012-10-01 20:55:51+00:00,48.03106536472375,,L7
