dates,oahu0090_0001,oahu0090_0002,oahu0090_0003,oahu0090_0004,oahu0090_0005,oahu0090_0006,oahu0090_0007,oahu0090_0008,oahu0090_0009,satname
2000-02-19 20:52:54+00:00,,72.06588219996755,68.89997893744183,43.66900781265152,26.02246576204667,,43.8561356745999,31.11688716857905,37.46266350300794,L7
2000-02-28 20:46:42+00:00,63.89011133019545,60.269668089984485,62.38476417583732,51.26574393358227,33.82284269666105,27.74167896918811,36.58931047800425,31.986277523267763,33.99952201981323,L7
2000-03-15 20:46:37+00:00,60.046353622664725,58.308426253954025,60.66693704459394,45.41616306492105,35.08294600001701,35.31999657303097,35.14284934270456,30.66847482363422,32.57967208418421,L7
2000-03-22 20:52:50+00:00,,65.35186374598794,63.704439170271776,53.33439053460192,34.838299460178646,26.13929476102064,27.54617128557019,25.73560379347138,22.425433610135386,L7
2000-04-07 20:52:39+00:00,59.31173298534577,56.06749344111745,57.19438455592184,51.033059273348485,31.0548539616459,28.028463505943986,30.61350738514428,26.81363660144132,28.08116114137134,L7
2000-05-18 20:46:08+00:00,,73.70810626852641,70.80102823422773,62.35888034414898,45.10957553691831,40.69383316363838,42.30307597289486,36.24324094479531,36.2998223410166,L7
2000-06-03 20:45:56+00:00,,71.034199187331,62.09537935801821,42.987387902028026,28.023293405307733,25.415302028472865,30.34667361800294,27.26302921752261,25.364403032806123,L7
2000-06-10 20:52:06+00:00,42.121319176557535,41.65812655161178,45.85485968880378,35.258879299983725,21.006553693646858,18.325776404697432,21.58889063092061,21.68973217026418,21.011283136215333,L7
2000-06-19 20:45:53+00:00,68.11107963033147,60.242211534166,60.03302817782242,38.39455368905615,25.70776840288108,21.41667270176513,37.61221229971974,36.97272580044384,40.44895329268076,L7
2000-06-26 20:51:56+00:00,46.46878615771041,39.27628277285297,31.27759187634752,23.473068222740302,,,,,,L7
2000-09-07 20:44:48+00:00,61.69612402841972,60.19898521740727,63.37761253601377,56.29663410786805,44.070032655660654,38.03102183051162,31.319152772460647,25.776586059577163,21.479493857804663,L7
2000-09-30 20:50:41+00:00,54.83477813642076,55.16707114401605,58.79091139701585,48.63018512284404,36.06517652650025,36.735134670479184,36.558599037539686,32.13932607849514,32.4248872452148,L7
