dates,oahu0067_0001,oahu0067_0002,oahu0067_0003,oahu0067_0004,oahu0067_0005,oahu0067_0006,oahu0067_0007,oahu0067_0008,satname
2017-01-01 20:54:16+00:00,32.49724993325289,37.31686795008136,40.68347238988867,43.0893833803212,52.12928834184367,55.80263685879167,61.2423189935039,63.44183755360038,L8
2017-01-06 21:09:13+00:00,26.05548272881361,29.842192883688,32.30780718016548,41.82005623675072,50.2283546289721,58.76651611950197,64.60920461906994,62.47586692665436,S2
2017-01-19 21:19:05+00:00,18.973925648484123,22.968106801184035,27.147824213437065,36.8925982706073,42.94510959353352,53.70090040968703,58.58365583192134,57.53681129618566,S2
2017-01-25 20:56:05+00:00,15.360103356908294,21.146331759087552,22.94707611626512,33.446211227966494,43.27269635471123,53.97171060804516,68.57665866553366,69.78119681867322,L7
2017-01-26 21:09:16+00:00,29.82090372473573,33.276992415125505,39.70474240126935,47.93598905433221,55.19846019402921,62.46263023929106,67.73540276996022,66.43539358362828,S2
2017-01-29 21:19:09+00:00,29.73357173496131,34.90525115450907,28.82946418129555,40.2332320367732,49.19948272545144,56.99774481480486,61.527821519036245,60.43482098348974,S2
2017-02-05 21:09:17+00:00,,,,,,,,58.74175135685503,S2
2017-03-06 20:53:52+00:00,32.07815698364672,34.99935892758997,40.65338025136667,42.45731986544705,54.11446764888517,58.13212542265116,64.06288594785146,64.52464308328767,L8
2017-03-07 21:09:16+00:00,22.18039321568466,26.69960909843768,27.286031669616182,38.54813977832639,46.2020455512834,53.62726249606945,60.00717486568836,57.76174757989851,S2
2017-03-20 21:19:08+00:00,26.80774865746565,30.69253682291764,25.29395778423808,35.99461456392641,44.09831595360771,54.68051850532015,59.63899271901754,59.19890454924703,S2
2017-03-22 20:53:41+00:00,30.97149104988748,34.671983606004204,40.07190563428338,45.72704900208227,53.61732995248512,59.66264402928797,66.17143501817067,65.64637538571539,L8
2017-03-30 20:56:18+00:00,,,,,,,,,L7
