dates,oahu0095_0001,oahu0095_0002,oahu0095_0003,oahu0095_0004,oahu0095_0005,satname
2001-03-18 20:44:17+00:00,25.20093851373084,26.63760155155888,25.06175265196213,26.591414638450114,16.46848699268534,L7
2001-04-03 20:44:06+00:00,,,,,,L7
2001-05-12 20:50:10+00:00,32.017807803765464,27.28642689167489,24.67234932050708,23.731090048638475,12.24444425866836,L7
2001-05-21 20:43:54+00:00,,56.36722198987583,40.52943735663707,50.16978266398133,36.49165504695514,L7
2001-06-06 20:43:42+00:00,,,35.4089657931913,44.994322701934856,35.30863282736453,L7
2001-06-22 20:43:29+00:00,,41.73244146401411,29.42062198146775,33.5859791077287,24.82767685958903,L7
2001-07-15 20:49:35+00:00,33.59243479167476,28.09140914448456,21.41547882546589,19.480456816610328,2.372498296572263,L7
2001-07-24 20:43:19+00:00,,55.06613940704055,42.00417271014326,45.83120735580538,30.33410095526133,L7
2001-09-01 20:48:54+00:00,41.71326197319054,29.559926768354604,23.71889489440952,25.711357142714423,14.682572035921815,L7
2001-09-26 20:42:29+00:00,45.195716665204,40.57268648048833,35.744033290893526,36.50673849216485,23.73784341177614,L7
2001-10-03 20:48:30+00:00,,,41.76243245781791,48.226730314138415,33.492418327882454,L7
2001-10-12 20:42:13+00:00,35.5182365343682,34.691059659333526,30.529745613208533,31.03739297536752,19.250119635865644,L7
2001-10-19 20:48:32+00:00,,,,,,L7
2001-10-28 20:42:21+00:00,53.0025776338493,36.27327142980979,24.006830887557363,24.47517811024094,13.097939372447058,L7
