dates,oahu0006_0001,oahu0006_0002,oahu0006_0003,oahu0006_0004,oahu0006_0005,oahu0006_0006,oahu0006_0007,oahu0006_0008,oahu0006_0009,oahu0006_0010,oahu0006_0011,oahu0006_0012,oahu0006_0013,oahu0006_0014,oahu0006_0015,oahu0006_0016,oahu0006_0017,satname
1999-09-28 20:53:15+00:00,7.175834674561645,13.333429990240072,7.577695263930358,5.850702770842822,9.958148787310428,10.994110623447437,8.38312654997542,11.101207847580527,12.3562763791347,11.7103284994339,4.305113616487158,30.92634604332556,36.06220225540294,46.803911466347984,53.1235197538921,35.68284851802652,46.44313321649071,L7
1999-10-14 20:53:13+00:00,18.68920198898035,24.95837023533182,24.92982500131845,24.74050275123479,28.930928174668928,35.51236403121006,43.75051917921277,38.78990217602668,29.0158445775999,22.92291524210092,22.70414266215348,32.77403254882909,46.5946510592312,57.36670227338812,54.85907690892862,45.22660007684866,56.13268851864968,L7
1999-12-26 20:46:52+00:00,,,,,,,,,,,,,,,,,,L7
2000-02-12 20:46:47+00:00,5.517414347020605,10.03521381517718,8.874469199643338,6.678821533818558,10.870382338336968,10.73992434180688,4.236927608986919,14.719423731964456,5.589406493981848,20.142515896621177,23.00747022439048,28.058828664458314,28.89919974708405,43.482412022089456,49.24045636772767,38.44026858243367,50.87833559899075,L7
2000-02-28 20:46:42+00:00,14.197614626070427,17.882985217373367,12.595977478354593,13.779451783406468,16.718392935756437,14.70585181570178,5.462519912660606,16.070641855998662,21.26395913487995,25.173602708487163,28.12755147135777,35.445577108793046,47.3282382605458,57.44479540266739,53.38594491741284,50.33331180669236,64.36407850174332,L7
2000-03-15 20:46:37+00:00,,,,,,,1.2156006569415123,15.430214673102611,20.442437573911526,23.810302457063766,5.218691928866685,15.3836751767687,26.047963671835745,33.56103309975796,44.78419708579639,43.94828580709351,57.0601616764716,L7
2000-04-07 20:52:39+00:00,,-16.873028801635083,-14.904752632761571,-10.124622676765432,-4.569196773329912,3.398966617563177,3.1406392395778138,5.488353607290621,12.466598250843944,16.786301851644943,20.34867859537024,32.6539520758823,40.35468215894045,51.22101609563243,54.02012371988226,46.24801770200148,56.07090596888946,L7
2000-04-16 20:46:20+00:00,,,,,,,,,,,,,,,,,,L7
2000-06-03 20:45:56+00:00,16.547316530747995,25.23647728810392,26.048498567637363,24.75851078823245,23.580636166336465,19.23996470140494,9.79345044114166,15.808969307044029,17.75652671592019,23.37884323918087,26.54081135737784,34.197259325913045,47.919301648868746,59.85502940064667,55.87293063138248,49.67718850226407,62.80911893744184,L7
2000-06-10 20:52:06+00:00,13.80436324516524,18.124093432101567,20.283703647852185,19.13798241238383,17.924785195982537,14.6350674365086,10.010792181230286,13.769052146359655,12.239337882679768,16.600009953329383,19.5240463255488,32.49739090483666,42.24119594750787,50.674853047676216,54.10012165398617,38.87734981631474,51.142998162864494,L7
2000-06-19 20:45:53+00:00,18.86939732946239,24.512130530181988,25.25706576666073,22.340469155523525,20.869814294878704,17.951873791977004,18.98519827003472,22.25532470593157,21.594978441330174,23.35489944926752,26.50744638989043,39.006444288135285,48.27702743146272,55.47514792469672,54.9252177654576,40.81941894463685,51.40754526591032,L7
