dates,oahu0070_0001,oahu0070_0002,oahu0070_0003,oahu0070_0004,oahu0070_0005,oahu0070_0006,oahu0070_0007,oahu0070_0008,oahu0070_0009,oahu0070_0010,oahu0070_0011,oahu0070_0012,oahu0070_0013,oahu0070_0014,oahu0070_0015,oahu0070_0016,oahu0070_0017,oahu0070_0018,oahu0070_0019,oahu0070_0020,oahu0070_0021,satname
2019-01-09 21:19:27+00:00,,,39.998283077879016,33.647577242448044,28.29881041829562,29.09653796950512,30.810452345848265,33.91444901410093,34.10042632753977,36.28412489966969,43.834768095218095,52.69756659857194,42.956190861476266,42.31442599229639,51.48774825011416,52.55156385399295,50.11091784955852,43.4846995329445,35.438552657935915,27.955510326071188,17.176555000183438,S2
2019-01-11 21:09:36+00:00,41.50211983746655,55.08059678481779,48.82986150224063,43.32750514237637,38.35950486456292,39.10984329803228,39.3533111501574,39.75837423427522,39.37816774089268,40.192132193094615,50.71873653484296,59.14645561142762,50.26444239268034,49.406228823602326,58.444004032104,60.32741654813267,55.84812417040627,49.69663635205029,42.25121061917293,33.4356711880955,28.09438252356084,S2
2019-01-16 21:09:33+00:00,33.77031206586522,47.67152776256221,38.66681653090839,31.88415766308797,26.43779954048529,25.14490019183266,26.26768261939757,26.18058932288101,26.06814774299052,26.65806298402061,35.495792028381054,45.36335105659664,36.97208586947651,36.0115385650031,43.40529540349517,46.751138446018125,40.98166650675737,35.42389524407697,28.136309382510497,19.97950184170309,12.263725654238982,S2
2019-01-19 21:19:28+00:00,36.632320179723614,47.52549993031537,39.77860691348966,34.118110904653925,27.039561547661,26.386960637898543,26.6524368455008,27.479201092080032,26.89667464007901,26.466793626522463,35.28185346433563,43.75440359183328,35.37424090937947,33.25737303322375,40.01227739916528,44.09070251969111,37.38307207744501,30.54740548530388,23.17585109875871,16.451043891200857,4.992325850146528,S2
2019-01-21 21:09:37+00:00,41.30297081677512,53.27998309862679,46.58888980824712,40.73763105055182,35.08266408876375,35.20352638818922,36.31377851857037,37.345688762703205,37.73600427127178,38.51599359251413,47.26561621947727,56.78805768970911,48.153839543292,47.182731064116034,54.31211721054961,54.699041449118106,50.41771340557219,45.393714017986845,38.47442821281211,31.51022861561043,25.916634010515203,S2
2019-01-23 20:53:51+00:00,38.86785890636849,49.84121889634213,43.65992190113936,38.18328445523995,32.23274641626396,28.45626249647591,30.640172942874813,31.19142611065689,30.74806607256656,31.944096190357005,40.84093993158493,49.84237084536047,39.36786393131784,36.469430191047486,43.57907565860214,44.28910197699529,41.51499382939997,37.67086041140075,31.51930897736781,24.54084654414969,13.85253287898797,L8
2019-01-30 21:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,L8
2019-02-03 21:19:32+00:00,39.51947166647143,51.65897470080407,44.61700422782294,39.090293391497376,32.57800477549252,32.821170347781226,34.04225587782462,34.63711296127196,33.9982794628519,39.10252142597176,47.5825832742936,56.65041873613321,47.04210569225349,46.22964802566418,53.223154408250906,53.76253503725759,46.66434517977941,40.3624751058888,33.1326242045034,24.68506905154262,18.307892408762463,S2
2019-02-05 21:09:34+00:00,33.93191198973365,53.42742640028968,,,,,,,,,,,,,,,,,41.30519670420579,,,S2
2019-02-08 20:53:49+00:00,42.29647866273756,53.54474546665716,46.10078946985356,37.162757353561446,33.105199497416365,31.493236155231745,31.517465264355888,29.674003509491094,28.78159121303534,29.844320896662147,45.20450191186961,55.95050564203123,45.21146725468268,43.182301738673495,48.10844256752684,46.30397605795112,40.36528966656936,35.14366874192383,29.638077258445595,22.0583273711158,12.555414687729412,L8
