dates,oahu0107_0001,oahu0107_0002,oahu0107_0003,satname
2015-02-04 21:00:10+00:00,,,,L8
2015-03-16 20:59:13+00:00,,,,L7
2015-03-24 20:59:46+00:00,,,,L8
2015-04-09 20:59:36+00:00,,,,L8
2015-04-17 20:59:28+00:00,,,,L7
2015-04-25 20:59:33+00:00,,,,L8
2015-05-19 20:59:42+00:00,,62.4352334505458,53.87092817193992,L7
2015-05-27 20:59:18+00:00,42.669658439888266,46.390660479785815,43.47976905959756,L8
2015-06-12 20:59:30+00:00,,,61.23502152787094,L8
2015-06-28 20:59:36+00:00,42.68748512223175,45.26478929119795,43.15568416414335,L8
2015-07-22 20:59:59+00:00,,62.19109871151965,50.69326416238014,L7
2015-07-30 20:59:51+00:00,55.07861992531186,57.15219295318081,33.10789488624419,L8
2015-08-07 21:00:03+00:00,39.50759830243432,37.60999318503921,33.770648215384604,L7
2015-08-15 20:59:57+00:00,52.45038734320633,60.13508255705185,58.92418121127601,L8
2015-08-23 21:00:05+00:00,46.06003034071306,49.36902580740753,45.72426421343842,L7
2015-09-08 21:00:08+00:00,,,,L7
2015-09-16 21:00:11+00:00,,,,L8
2015-09-24 21:00:12+00:00,,,,L7
2015-10-02 21:00:15+00:00,,,,L8
2015-10-10 21:00:21+00:00,,,,L7
2015-10-18 21:00:16+00:00,,,,L8
2015-10-26 21:00:38+00:00,60.34557957475032,,,L7
2015-11-11 21:00:53+00:00,,,,L7
2015-12-13 21:01:23+00:00,,,,L7
2015-12-21 21:00:23+00:00,,,,L8
2015-12-29 21:01:36+00:00,53.9468462929542,57.2509921774515,51.25030440349479,L7
2016-01-06 21:00:18+00:00,44.73912400620803,48.9704479229216,46.09604852093247,L8
2016-01-14 21:01:52+00:00,57.63895604650481,62.32719604012217,58.25097919797509,L7
2016-01-22 21:00:19+00:00,,,,L8
2016-01-30 21:02:02+00:00,,,,L7
2016-02-07 21:00:15+00:00,43.17433148512141,48.39408589118747,47.128511536424696,L8
2016-03-10 21:00:06+00:00,,,,L8
2016-03-26 20:59:57+00:00,,,,L8
2016-04-03 21:02:24+00:00,52.87737288056916,56.199927576516274,50.183377109794506,L7
2016-04-14 21:19:19+00:00,,19.15787617831818,,S2
2016-04-27 20:59:47+00:00,,,,L8
2016-05-04 21:19:23+00:00,,,27.46993958667044,S2
2016-05-05 21:02:37+00:00,59.25406100684411,60.50604007059973,51.24648115601897,L7
2016-05-14 21:19:24+00:00,,,33.80562299960929,S2
2016-05-24 21:19:24+00:00,52.52447793992832,56.53541060637895,52.511365418710994,S2
2016-05-29 20:59:53+00:00,,,,L8
2016-06-03 21:19:23+00:00,,,28.6887912613918,S2
2016-06-13 21:19:22+00:00,,,,S2
2016-06-22 21:02:48+00:00,,,,L7
2016-06-23 21:19:19+00:00,51.59200031824656,49.64448408493407,38.4231543366816,S2
2016-06-30 21:00:05+00:00,,,,L8
2016-07-08 21:02:48+00:00,,,,L7
2016-07-13 21:19:23+00:00,,,21.71900346993716,S2
2016-08-01 21:00:15+00:00,58.03043122615144,61.46630385114606,55.79528519296715,L8
2016-08-02 21:19:24+00:00,,,,S2
2016-08-09 21:02:51+00:00,51.54858866931695,56.45640588609026,52.484256696272745,L7
2016-08-22 21:19:20+00:00,,,,S2
2016-08-25 21:02:54+00:00,,,,L7
2016-10-11 21:19:12+00:00,41.20929938455285,39.44496810470235,49.59233359886581,S2
2016-10-12 21:02:59+00:00,43.97031525898808,48.65374922283816,48.88772947906028,L7
2016-10-20 21:00:35+00:00,,,,L8
2016-11-10 21:19:14+00:00,60.87360509007976,63.36003927910116,56.319212078495454,S2
2016-11-13 21:02:47+00:00,,,,L7
2016-11-30 21:19:14+00:00,57.04240702193385,61.89463097960552,58.06156208921698,S2
2016-12-15 21:02:40+00:00,,,,L7
2016-12-20 21:19:10+00:00,,64.88163852337318,57.03508783440496,S2
2016-12-31 21:02:33+00:00,,,,L7
2017-01-08 21:00:25+00:00,,,,L8
2017-01-16 21:02:22+00:00,45.25318399683989,52.80225862933826,55.80920041271341,L7
2017-01-19 21:19:05+00:00,42.44394635841084,46.32271014537978,47.52747090529214,S2
2017-01-29 21:19:09+00:00,50.40002805511955,53.513911429092886,48.288358554851854,S2
2017-02-09 21:00:12+00:00,55.31758252502618,60.18961741169158,56.28936929338442,L8
2017-02-17 21:02:13+00:00,,,,L7
2017-03-05 21:02:21+00:00,36.31533645824803,38.44523237061546,35.68019961547677,L7
2017-03-13 20:59:58+00:00,,,,L8
2017-03-20 21:19:08+00:00,47.242278966929256,47.92845862740705,42.75120647766197,S2
2017-03-21 21:02:27+00:00,37.48575538633543,38.37622371618652,35.45592237790624,L7
2017-04-06 21:02:31+00:00,,,,L7
2017-04-09 21:19:14+00:00,48.3049620575945,37.110721936157184,32.1174968861698,S2
2017-05-19 21:19:19+00:00,,,,S2
2017-06-08 21:19:17+00:00,,63.53518146818834,39.08576127869629,S2
2017-06-25 21:02:53+00:00,57.954070941653065,59.16739895444939,49.82350328895838,L7
2017-06-28 21:19:14+00:00,,,,S2
2017-07-03 21:00:01+00:00,,,,L8
2017-07-11 21:02:54+00:00,,,,L7
2017-07-13 21:19:16+00:00,48.25071060509987,48.52328688954558,44.48663872572745,S2
2017-07-18 21:19:17+00:00,,,21.4739631380836,S2
2017-08-02 21:19:15+00:00,,,31.049751282624783,S2
2017-08-04 21:00:13+00:00,,,,L8
2017-08-12 21:02:50+00:00,,,,L7
2017-08-20 21:00:19+00:00,,,,L8
2017-08-22 21:19:12+00:00,48.23537352542613,48.99508751374525,48.16015742295708,S2
2017-08-27 21:19:16+00:00,,,,S2
2017-08-28 21:02:51+00:00,42.82633963924094,47.1086923046875,50.23016215659535,L7
2017-09-05 21:00:21+00:00,55.88367674557251,60.184387626783085,55.602337979058014,L8
2017-09-11 21:19:07+00:00,,47.90338049503374,49.09644378258353,S2
2017-09-16 21:19:13+00:00,26.87127826360743,31.00221598473497,36.28149241378485,S2
2017-10-06 21:19:14+00:00,,,,S2
2017-10-21 21:19:03+00:00,55.722504521235976,60.315351615024326,56.26756261125705,S2
2017-10-26 21:19:15+00:00,44.24262045544364,47.02090605920058,45.431810657566096,S2
2017-11-08 21:00:31+00:00,,,,L8
2017-11-10 21:19:02+00:00,,61.73732218620248,46.933907400859496,S2
2017-11-15 21:19:14+00:00,60.5474926778676,61.83657531572384,52.67550453435344,S2
2017-11-16 21:02:49+00:00,,,,L7
2017-11-24 21:00:25+00:00,57.47240812334836,,,L8
2017-12-25 21:19:10+00:00,,,,S2
2017-12-27 20:56:17+00:00,,,,L7
2017-12-30 21:19:06+00:00,51.1870402702166,52.78303342467108,47.97336676935393,S2
2018-01-03 21:02:22+00:00,,,,L7
2018-01-09 21:19:07+00:00,40.43889994257589,43.41129553227444,32.16991316650706,S2
2018-01-11 21:00:19+00:00,47.38102429400059,59.06171948139916,,L8
2018-01-14 21:19:09+00:00,35.74346889327024,32.56089427371201,29.690471707528825,S2
2018-01-19 21:02:08+00:00,,,,L7
2018-01-27 21:00:10+00:00,,,,L8
2018-01-29 21:19:09+00:00,50.28081632555858,56.76560438427807,54.8328803830505,S2
