dates,oahu0101_0001,oahu0101_0002,oahu0101_0003,oahu0101_0004,oahu0101_0005,oahu0101_0006,oahu0101_0007,oahu0101_0008,oahu0101_0009,oahu0101_0010,oahu0101_0011,oahu0101_0012,oahu0101_0013,oahu0101_0014,oahu0101_0015,oahu0101_0016,oahu0101_0017,oahu0101_0018,oahu0101_0019,oahu0101_0020,oahu0101_0021,oahu0101_0022,satname
2018-09-24 20:59:55+00:00,26.504904048173685,20.309569337507664,17.7119125830459,23.13604023370592,26.37665676584593,28.09168069551312,34.67852319169047,36.59771983520641,31.3902707318964,30.895151882061832,38.13759617419336,34.396252617323675,36.00757238796114,39.5674070012897,46.32075755859257,52.36975754827414,48.89864519759661,,,,,35.403569282336406,L8
2018-09-25 20:51:44+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
2018-09-26 21:19:10+00:00,36.27938893188686,30.142934123263466,27.00152353302993,33.682093133127395,30.32008979141578,32.16715319210378,41.18168609255304,45.34792653015993,39.83230079394334,41.76769870608962,47.5879433365528,43.97285133806344,44.16772429773545,45.626508128933686,50.87182558435357,52.498230879516754,49.85089628901609,42.807360173872425,51.82165519703189,48.61888424447974,40.38814344389626,35.921177719030005,S2
2018-10-01 21:19:12+00:00,14.90673245612209,8.832856763326657,6.113932262635709,13.18629280163219,20.39402899512968,,14.701475852950168,18.28519399139956,12.102334549890909,24.342840977633863,31.569455813336813,28.34759024454372,27.86396199013457,30.212227982085565,34.62521355040488,36.92808003091916,31.64072984109464,24.34581368908651,33.50646462743585,27.708003408984982,23.50408456038954,20.96644417501229,S2
2018-10-11 20:51:20+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
2018-10-11 21:19:13+00:00,20.47748635339906,14.08227698890417,13.253945344056778,18.110470641867824,20.90546966718944,22.42300295873104,28.15501806429845,30.54739826579196,24.385961140882976,25.39189617318732,,,,,,,,,,,,,S2
2018-10-16 21:19:13+00:00,42.53528670993281,35.76641400554683,33.09544598608366,38.04880273387861,41.725255570070736,40.945147716993695,46.4262210409966,38.55062043607795,33.27423141075928,34.83087305306048,42.91356616287516,41.86722795515514,44.48356023529133,48.35007586717368,53.77956718657244,59.96282677250125,57.32813147083503,48.46287280885362,60.18783068103984,54.93123826004861,52.236080994605565,52.46506592639434,S2
2018-10-21 21:19:13+00:00,25.278675655778013,17.490691431439487,12.30018855537364,17.878832239449164,20.53937745931408,24.27974509321994,29.813048103899224,33.859803831519386,27.726763895848475,26.857255270612693,32.2447385230601,28.76686672237309,28.519047036693006,31.363095824389287,35.3908293455026,33.49273139532906,30.7582137873555,23.18927706150455,31.396736234703003,24.39329160796812,19.40764562643441,18.90059200248593,S2
2018-10-27 20:50:59+00:00,34.08985438741679,25.77104226980018,,,,,,,,,,,,,,,,,,,,,L7
2018-10-31 21:19:12+00:00,31.32286219089452,24.612556081459967,22.12007071531252,28.35275144136371,30.172180204450093,31.08082101929308,39.68664474938902,38.56377961157196,32.1327011518945,33.96631867745421,46.51009733346383,42.922009029179264,42.484884124453245,41.9114479064064,44.289604780462426,47.23544899813702,45.87795014024863,39.51024291922468,49.51836557238401,47.58395253284365,43.03788596554327,39.82795415503563,S2
