dates,oahu0002_0001,oahu0002_0002,oahu0002_0003,oahu0002_0004,oahu0002_0005,oahu0002_0006,oahu0002_0007,oahu0002_0008,oahu0002_0009,oahu0002_0010,oahu0002_0011,oahu0002_0012,oahu0002_0013,oahu0002_0014,satname
2011-09-22 20:47:19+00:00,,16.25869185508835,2.368889925516169,12.58096461724663,17.555227977056077,24.36349787978805,33.736355925686574,34.66962133913544,39.78737568553689,36.06527093937869,38.322212912395855,38.06973111144862,42.134597134614246,47.63673181660796,L7
2011-10-15 20:53:31+00:00,,,,,,,,,,,,,,,L7
2011-10-24 20:47:25+00:00,,,,,,,,,,,,,,,L7
2011-11-09 20:47:34+00:00,,41.81485053400263,40.2604566350382,35.149155951518445,33.83087720419809,30.48205559836227,28.10466540997383,27.316419655632345,28.372356694617224,27.900890573451548,29.504446241782805,31.43348889915782,42.976747181067246,50.71743896465493,L7
2011-11-16 20:53:49+00:00,,,,,,,,,,,,,,,L7
2011-12-02 20:53:59+00:00,58.30527398559161,40.802056072650494,37.445576008897376,31.63012157340335,28.63558706524056,28.20894845542898,28.354829744272266,29.304067190461943,29.3443350426515,27.81896772228096,26.658790882856856,28.54561068471204,30.21950604219076,34.36172597262004,L7
2011-12-18 20:54:06+00:00,29.24924500181321,18.69252131199489,17.93461032445851,18.16244629835692,18.85244035239452,16.433622977203285,15.958928500888147,13.83367450807232,17.99733183109005,15.10844742308442,16.996387230365634,22.92491317893008,25.26498061374459,26.545521702331094,L7
2011-12-27 20:48:01+00:00,58.51967620936113,40.427124182019824,,,,,,,,,,,,,L7
2012-01-03 20:54:15+00:00,,,,34.73534969815882,32.986986763563216,31.867496719729992,32.39841116290692,31.0862009691104,31.493464143315464,31.16005118040191,31.840872010840734,30.881371886235065,34.405910815895965,38.86847762609445,L7
2012-01-12 20:48:05+00:00,,,,,,,,,,22.236243162665826,21.327310582645115,22.868378990546365,25.215314268171984,24.491429254862503,L7
2012-01-19 20:54:15+00:00,61.30930668311301,44.25567078018298,40.80200114006694,35.365542229258985,34.35064594749808,34.17781932383701,36.033796239520456,36.16893598743688,37.03421381635233,34.4866314358325,36.85750241105485,29.006322670824787,28.58338715752797,32.559682440297166,L7
2012-02-04 20:54:19+00:00,,,,,,-5.481208036475502,4.650851082316134,13.274924595865604,12.856318365732218,21.24930131178738,22.884604519172623,24.67795195361171,26.75105610609293,28.68176534211413,L7
2012-02-20 20:54:23+00:00,56.24650961937368,41.23643833171601,38.30794166751212,32.54463528984,29.94556577560747,29.30993497663723,28.97501589267004,28.970808029087248,27.61716294683999,28.97059015189173,31.46737832130985,30.266346078090283,30.75412475927736,34.45469379348302,L7
2012-03-16 20:48:10+00:00,,,,,,,37.23223665072006,31.919532934941348,30.81714299730677,27.28238979984255,25.24364145519188,24.23088191192397,25.07295742235816,26.67461694212209,L7
2012-03-23 20:54:22+00:00,51.18586292175437,38.701920934168704,37.31810845875895,35.91333924024498,35.580836989729434,29.839463226319594,28.94430209108492,26.61414610096366,26.851578476827022,22.95410875691104,24.92770501634712,27.47351222388693,,,L7
2012-04-01 20:48:10+00:00,59.18244245227747,43.49664955971568,41.08358983219204,37.80026280189326,40.10743404948723,40.821246829603815,,,,,,,,,L7
2012-04-17 20:48:07+00:00,,,,,,,,,,,,,,,L7
2012-05-10 20:54:54+00:00,,,,,,,,,,,10.070116457542166,4.572562833889644,13.493416061683854,13.775963164185836,L7
2012-05-19 20:48:45+00:00,,,,,,,,,,,,,,,L7
2012-05-26 20:54:47+00:00,45.63040380728888,31.848344210224667,29.14362373895433,25.31271219082016,23.323071143856325,20.301976178051703,25.312147635425063,24.662830947384546,,,,,,,L7
2012-06-11 20:54:37+00:00,56.086489380536506,38.82638544584951,36.96967914440184,33.85100002957542,28.724304206688263,27.44538176483708,27.03615742460129,26.35431382144956,26.226928893456304,24.272105541366408,24.02328927322232,23.86262502701189,25.6653889351203,30.546554825295622,L7
2012-06-20 20:48:31+00:00,,,,,,,,,,,,,,,L7
2012-07-06 20:48:43+00:00,,,,,,,,,,,,,,,L7
2012-07-22 20:48:55+00:00,,,,,,,,,,,,,,,L7
2012-08-07 20:49:06+00:00,,,,,,,,,,,,,,,L7
2012-08-23 20:49:16+00:00,,,,,,,,,,,,,,,L7
2012-08-30 20:55:31+00:00,54.36591730192789,36.69289074327997,35.31984845077385,30.575935512685263,25.68050815465401,24.17948749179474,23.178866257961992,23.25372143396552,18.76573055795346,23.632631273940863,24.57542940968192,24.182128512158545,29.052957431143707,31.232737104257687,L7
2012-09-08 20:49:27+00:00,,,,,,,,,,,,,,,L7
2012-09-24 20:49:36+00:00,,,,,,,,,,,29.08172916464816,29.8721502898229,32.800300692341146,36.11262108844181,L7
2012-10-01 20:55:51+00:00,,,,35.06856707396909,33.9620630685632,32.180041356632614,30.78540558396557,28.012684006576272,27.14252812419854,28.31881891913628,30.166776357492843,32.222683823678786,36.197533125366576,40.187623870294615,L7
2012-10-10 20:49:43+00:00,,,,,,,,,,,,,,,L7
2012-10-26 20:49:53+00:00,,,,,,24.77196896845945,21.223746963191,20.31462882961083,19.34393679141988,21.74293451330784,20.48961036914116,25.219876472877186,27.80593483256856,25.83946131570122,L7
2012-11-02 20:56:05+00:00,59.00629794420317,43.295215344537496,41.83404269493343,34.06651202561097,30.45802618048476,30.97786526525203,32.2110337695157,31.42587566158156,31.09791184475857,30.72935391287273,29.816466364328942,33.04818823903623,,,L7
