dates,oahu0017_0001,oahu0017_0002,oahu0017_0003,oahu0017_0004,oahu0017_0005,oahu0017_0006,oahu0017_0007,satname
2013-09-11 20:49:40+00:00,,,,,,,,L7
2013-10-05 20:55:57+00:00,8.546730905112392,19.305114029773247,38.29069103854374,47.4967165695281,56.530450086806034,55.05090304825261,,L8
2013-10-13 20:50:03+00:00,18.90764676874105,28.67241421253536,45.76204987417039,60.42718236342788,78.00704036949743,77.18458492296699,,L7
2013-10-21 20:55:52+00:00,2.7243487915034184,6.370014079365129,,47.08770828916408,51.80002653749023,48.843665375790486,58.73944674204645,L8
2013-10-28 21:01:57+00:00,16.299940409264565,18.66672849624432,36.39082966848967,50.84851987251667,58.43050674516373,51.775992728013456,58.836751439827886,L8
2013-11-05 20:56:22+00:00,,,,,,,,L7
2013-11-06 20:55:48+00:00,6.989308657399434,21.60679708130815,43.4806162558191,52.27598167195406,66.26291415609015,66.1852439341811,,L8
2013-11-13 21:01:57+00:00,5.639818980234895,10.72733371788006,18.37290633105013,36.95189647213018,50.00558322411817,45.34720454819416,48.0837322869507,L8
2013-11-22 20:55:38+00:00,9.45414927363112,39.66368977047492,50.542769068762766,62.2348765527421,83.7800956004404,76.84246310782143,,L8
2013-12-08 20:55:40+00:00,-0.8569632339696661,11.426933879140073,38.93793733791933,54.87999437729681,61.764760853152495,60.28479628552497,,L8
2013-12-31 21:01:38+00:00,3.591460896108539,13.538904460317262,34.91030765227376,51.37584967025541,62.435715952558645,61.563828177096106,,L8
2014-02-10 20:54:57+00:00,8.361341870669339,23.64339310883524,48.5089457969664,56.78287032264463,70.0725335531274,70.06806777077576,,L8
2014-03-05 21:00:48+00:00,3.929754916671204,12.59958497335965,16.265671174274228,43.89156466342463,59.89437736169994,44.15816944771245,46.37408842595826,L8
2014-03-14 20:54:34+00:00,14.587268066355332,40.20337141489134,50.105238748968,60.84026327781718,77.55697812604585,74.97063961880863,,L8
2014-03-21 21:00:38+00:00,12.545066851645329,36.055986898269175,49.70745789565938,62.60444877218512,83.46007144489998,75.69043562016249,,L8
2014-03-30 20:54:17+00:00,3.4983116662608538,17.580803697686402,36.85578373081599,47.18088722587679,55.67213186958357,46.64832861414129,55.14759637525583,L8
2014-04-15 20:54:00+00:00,13.482498162899804,35.85265165336725,47.90049778996361,56.63721531122592,68.12114952560026,60.24523545467289,,L8
2014-04-22 21:00:07+00:00,1.3830867763144283,7.100597648954832,35.93192920177569,52.15893530206775,66.54040456097059,61.90093350897075,75.16752943502587,L8
2014-05-01 20:53:47+00:00,16.508697119562978,30.45484270495405,41.55604666994969,53.21808689248038,69.11675534236623,68.729872131416,,L8
2014-05-24 20:59:45+00:00,-2.012435230112056,32.68136763531604,,,,,,L8
2014-06-02 20:53:41+00:00,27.22041004461813,39.73051208389966,49.777422122739495,59.602416978512174,84.01378752893854,78.02018088327226,,L8
2014-08-12 21:00:17+00:00,,,,,,,,L8
2014-08-28 21:00:18+00:00,4.868977214816494,12.56611872929873,36.5701171377208,54.44509271421096,74.46410579098767,66.94113212326978,63.97461416199158,L8
2014-09-06 20:54:11+00:00,17.036388313727656,41.07435868999868,53.60960575718273,62.236546791873984,75.5296956285763,76.47313089121342,,L8
2014-09-13 21:00:23+00:00,14.409217282219846,37.47966716402736,49.49885669220695,58.31696719623151,73.25028586338159,73.35943386160753,,L8
2014-09-22 20:54:09+00:00,19.34216426464232,36.54665480822231,50.87136503070001,61.27592423010236,73.16920489382281,73.78538513546248,,L8
2014-10-08 20:54:15+00:00,25.64755686980812,39.87649721784391,49.633347385922775,57.74729615931433,71.17834531488775,72.11802689277602,,L8
2014-10-15 21:00:28+00:00,8.469770176045408,30.562522731427908,48.32528983941496,55.46329740947936,68.22946805087633,64.10518052743203,,L8
2014-10-24 20:54:16+00:00,7.277522031518402,38.616795894598496,48.49618476777654,57.53695042899882,72.31009138935806,65.75678443018258,,L8
2014-11-09 20:54:17+00:00,3.5693931113943607,14.406719806518838,,54.23124690313832,65.4412354148742,63.58784024484863,,L8
2014-12-02 21:00:25+00:00,2.263022568296215,11.746480287445866,18.59587853973195,53.80129754955803,62.66522434740954,64.86645837435321,,L8
2014-12-18 21:00:22+00:00,6.08478379857202,16.80316523210296,42.20106109659695,58.476900088499214,74.60374373793924,67.93300115060944,71.48832987251495,L8
2015-01-03 21:00:17+00:00,3.217232470579254,12.810666806169824,45.288459232622415,51.35571551385815,58.26489453722336,51.20626891792045,,L8
2015-01-12 20:54:06+00:00,21.696207771383147,38.56165551159474,49.04576539937912,47.4593056076497,49.73728895856015,,,L8
2015-01-19 21:00:13+00:00,11.159928563936472,32.6044082948637,48.65712693984857,57.88784597155913,67.97405210310257,66.61421344158889,,L8
2015-02-04 21:00:10+00:00,15.566689540269252,38.504178620636885,49.39354155999092,57.93493707082337,68.33617263564076,62.22856261457701,,L8
2015-02-12 20:58:53+00:00,,,,,,,54.84567262222877,L7
2015-03-09 20:52:56+00:00,7.961452992847418,13.786381941717814,25.33037168293153,44.077491135798056,58.58714007443555,55.88382184785458,59.28769809302965,L7
2015-03-16 20:59:13+00:00,11.470520608996097,22.01064821264475,42.49933550778955,58.99365553702219,75.37623718965733,73.38808498165331,75.47712897594839,L7
2015-03-17 20:53:39+00:00,9.609954233775255,31.874830596072663,49.0243019309295,57.64027179637665,67.32825774908152,68.26109953708148,,L8
2015-03-24 20:59:46+00:00,26.45405602920253,39.36508261648483,49.40168208461127,61.42722154196255,80.81194901328513,73.64293867243128,,L8
2015-04-01 20:59:19+00:00,6.415406797333091,8.592944290948274,15.869448645889646,38.09044322684894,57.804836114110536,57.00493398587489,56.42751146020976,L7
2015-04-09 20:59:36+00:00,14.973359902912897,31.44556199772588,44.73704098651466,52.64364385181157,70.46076098811413,65.94490082175766,,L8
2015-04-10 20:53:15+00:00,,,,,,,,L7
2015-05-04 20:53:13+00:00,29.651997654924585,38.37892167949584,38.592778761626754,50.73889114780366,63.53395027553685,63.83662923737671,,L8
